seed,scenario,method,view,regime,window,n_rows,state_mismatch_rate,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate
42,steady_m2_r10_k1,pooled_marginal,clean,transit_rough,all,720,0.0,2160,0,0,71,0,2089,0.0,,0.0,0.03287037037037037,,,0,,0,0.08055555555555556,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_marginal,clean,transit_rough,stable,720,0.0,2160,0,0,71,0,2089,0.0,,0.0,0.03287037037037037,,,0,,0,0.08055555555555556,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_marginal,observed,all,all,2160,0.0,6480,216,20,81,196,6183,0.19801980198019803,0.09259259259259259,0.12618296529968454,0.01293103448275862,0.10313675657259273,0.46296296296296297,216,0.006944444444444444,432,0.03343621399176955,1.0,1.0,0.3333333333333333,0.09259259259259259,0.08796296296296297
42,steady_m2_r10_k1,pooled_marginal,observed,all,stable,2160,0.0,6480,216,20,81,196,6183,0.19801980198019803,0.09259259259259259,0.12618296529968454,0.01293103448275862,0.10313675657259273,0.46296296296296297,216,0.006944444444444444,432,0.03343621399176955,1.0,1.0,0.3333333333333333,0.09259259259259259,0.08796296296296297
42,steady_m2_r10_k1,pooled_marginal,observed,warehouse,all,720,0.0,2160,72,6,6,66,2082,0.5,0.08333333333333333,0.14285714285714285,0.0028735632183908046,0.1633370279492196,0.5972222222222222,72,0.0,144,0.009259259259259259,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
42,steady_m2_r10_k1,pooled_marginal,observed,warehouse,stable,720,0.0,2160,72,6,6,66,2082,0.5,0.08333333333333333,0.14285714285714285,0.0028735632183908046,0.1633370279492196,0.5972222222222222,72,0.0,144,0.009259259259259259,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
42,steady_m2_r10_k1,pooled_marginal,observed,transit_smooth,all,720,0.0,2160,72,1,7,71,2081,0.125,0.013888888888888888,0.025,0.003352490421455939,0.05592185579028594,0.4027777777777778,72,0.0,144,0.010802469135802469,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888
42,steady_m2_r10_k1,pooled_marginal,observed,transit_smooth,stable,720,0.0,2160,72,1,7,71,2081,0.125,0.013888888888888888,0.025,0.003352490421455939,0.05592185579028594,0.4027777777777778,72,0.0,144,0.010802469135802469,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888
42,steady_m2_r10_k1,pooled_marginal,observed,transit_rough,all,720,0.0,2160,72,13,68,59,2020,0.16049382716049382,0.18055555555555555,0.16993464052287582,0.032567049808429116,0.16640125124150104,0.3888888888888889,72,0.020833333333333332,144,0.08024691358024691,1.0,1.0,0.3333333333333333,0.18055555555555555,0.16666666666666666
42,steady_m2_r10_k1,pooled_marginal,observed,transit_rough,stable,720,0.0,2160,72,13,68,59,2020,0.16049382716049382,0.18055555555555555,0.16993464052287582,0.032567049808429116,0.16640125124150104,0.3888888888888889,72,0.020833333333333332,144,0.08024691358024691,1.0,1.0,0.3333333333333333,0.18055555555555555,0.16666666666666666
42,steady_m2_r10_k1,regime_marginal,clean,all,all,2160,0.0,6480,0,0,50,0,6430,0.0,,0.0,0.007716049382716049,,,0,,0,0.022685185185185187,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,clean,all,stable,2160,0.0,6480,0,0,50,0,6430,0.0,,0.0,0.007716049382716049,,,0,,0,0.022685185185185187,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,clean,warehouse,all,720,0.0,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,clean,warehouse,stable,720,0.0,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,clean,transit_smooth,all,720,0.0,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,clean,transit_smooth,stable,720,0.0,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,
