scenario,compare_to,method,view,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
steady_k2,steady_m2_r10_k1,pooled_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_k2,steady_m2_r10_k1,pooled_conditional,observed,0.12631340561260557,0.047821305780919816,5,0.08055555555555556,0.0455789329509123,5,0.24561452968296935,0.03781373887883439,5,0.19889773355939008,0.028689482370732745,5,0.00034323116219667877,0.0017449447091486582,5,0.04583333333333333,0.03805037362214248,5,0.31666666666666665,0.053451675545820754,5,0.3333333333333333,0.0,5,-0.047222222222222214,0.05323067537705485,5,-0.004629629629629625,0.0571717084964281,5,0.0,0.0,5
steady_k2,steady_m2_r10_k1,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_k2,steady_m2_r10_k1,pooled_marginal,observed,0.06696315827267948,0.04605144176258121,5,0.030555555555555565,0.037411303427475784,5,0.2079014604470947,0.06408889618529111,5,0.09939796243916055,0.045070458668976424,5,0.00015850209815726976,3.854324890794439e-05,5,0.0018518518518518517,0.005018398932564536,5,0.3675925925925926,0.07221331853948826,5,0.3333333333333333,0.0,5,-0.0824074074074074,0.041974173913493104,5,-0.07777777777777778,0.04028043839658556,5,0.0,0.0,5
steady_k2,steady_m2_r10_k1,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_k2,steady_m2_r10_k1,regime_conditional,observed,0.11755952126528384,0.06214666644128219,5,0.06990740740740739,0.06855917212382694,5,0.21000087986211624,0.039103894481169,5,0.16277835938994292,0.07124129664916966,5,-0.0003078817733990158,0.0008767457186741452,5,0.015277777777777776,0.018919274760835693,5,0.1287037037037037,0.03636543867899161,5,0.3333333333333333,0.0,5,-0.09351851851851853,0.07344933305857156,5,-0.054629629629629625,0.08706904454809711,5,0.0,0.0,5
steady_k2,steady_m2_r10_k1,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_k2,steady_m2_r10_k1,regime_marginal,observed,0.07512420337469508,0.033340359524435724,5,0.03518518518518519,0.028227455891701777,5,0.20192729159967637,0.030874017374793776,5,0.16701290700648747,0.03031762826085975,5,0.00016762452107279592,0.000133017685469774,5,0.0013888888888888887,0.004205069936246516,5,0.2,0.06057565642146713,5,0.3333333333333333,0.0,5,-0.17777777777777778,0.02865138601252926,5,-0.17500000000000002,0.028986066374997285,5,0.0,0.0,5
steady_k2,steady_m2_r10_k1,single_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_k2,steady_m2_r10_k1,single_marginal,observed,0.08122449711937997,0.0020116047597418234,5,0.07129629629629626,0.0296169677806703,5,0.0493456028157445,0.0013351412911317732,5,0.05911616814622028,0.011049994095145817,5,-0.001588441890166037,0.003417066465820673,5,-0.026388888888888896,0.06482721442239212,5,0.312962962962963,0.1490352491425047,5,0.3333333333333333,0.0,5,-0.14166666666666666,0.03881717373380479,5,0.0824074074074074,0.055304215403770195,5,0.0,0.0,5
