scenario,method,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
steady_k2,pooled_conditional,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008765432098765433,0.0012072597046671571,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008765432098765433,0.0012072597046671571,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015740740740740743,0.0019912789970006075,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015740740740740743,0.0019912789970006075,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,transit_smooth,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01,0.0021366631035582085,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,transit_smooth,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01,0.0021366631035582085,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,warehouse,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0005555555555555556,0.00020704333124998056,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,clean,warehouse,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0005555555555555556,0.00020704333124998056,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_conditional,observed,all,all,0.40553702699327515,0.04643143006902299,5,0.2972222222222222,0.04136335072579041,5,0.6408509211984306,0.04344866814461689,5,0.4413197967674525,0.03758054533261979,5,0.011805555555555555,0.001212772541064302,5,0.09351851851851851,0.03766823260519999,5,0.9074074074074074,0.022442962302853375,5,0.6666666666666666,0.0,5,0.16944444444444445,0.05264359160074011,5,0.13518518518518519,0.06647993395495887,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,all,stable,0.40553702699327515,0.04643143006902299,5,0.2972222222222222,0.04136335072579041,5,0.6408509211984306,0.04344866814461689,5,0.4413197967674525,0.03758054533261979,5,0.011805555555555555,0.001212772541064302,5,0.09351851851851851,0.03766823260519999,5,0.9074074074074074,0.022442962302853375,5,0.6666666666666666,0.0,5,0.16944444444444445,0.05264359160074011,5,0.13518518518518519,0.06647993395495887,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,transit_rough,all,0.5230752122380903,0.04808904509891255,5,0.4666666666666667,0.0625771129226045,5,0.5975950475371599,0.029134184834240778,5,0.5672671211821985,0.08516089256924005,5,0.02232142857142857,0.001788467894575393,5,0.18611111111111112,0.08979572152913676,5,0.8944444444444445,0.06985986855532941,5,0.6666666666666666,0.0,5,0.3,0.05859728641591386,5,0.20833333333333334,0.06588078458684123,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,transit_rough,stable,0.5230752122380903,0.04808904509891255,5,0.4666666666666667,0.0625771129226045,5,0.5975950475371599,0.029134184834240778,5,0.5672671211821985,0.08516089256924005,5,0.02232142857142857,0.001788467894575393,5,0.18611111111111112,0.08979572152913676,5,0.8944444444444445,0.06985986855532941,5,0.6666666666666666,0.0,5,0.3,0.05859728641591386,5,0.20833333333333334,0.06588078458684123,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,transit_smooth,all,0.4285174738684484,0.10046916208041902,5,0.3236111111111111,0.09155085276487218,5,0.6442009110395587,0.090363482890193,5,0.4461442256741425,0.09486344828819712,5,0.012301587301587301,0.002514641241197733,5,0.08333333333333333,0.03540985773328323,5,0.925,0.02523041961747908,5,0.6666666666666666,0.0,5,0.17222222222222222,0.08816983471168822,5,0.16111111111111112,0.08816983471168822,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,transit_smooth,stable,0.4285174738684484,0.10046916208041902,5,0.3236111111111111,0.09155085276487218,5,0.6442009110395587,0.090363482890193,5,0.4461442256741425,0.09486344828819712,5,0.012301587301587301,0.002514641241197733,5,0.08333333333333333,0.03540985773328323,5,0.925,0.02523041961747908,5,0.6666666666666666,0.0,5,0.17222222222222222,0.08816983471168822,5,0.16111111111111112,0.08816983471168822,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,warehouse,all,0.18006495159061756,0.07698269170746241,5,0.10138888888888889,0.04673977408462177,5,0.8766233766233766,0.1394214971011941,5,0.3884915985090349,0.11635132120647491,5,0.0007936507936507937,0.0007522693892908284,5,0.01111111111111111,0.02484519974999766,5,0.9027777777777779,0.045005143738943466,5,0.6666666666666666,0.0,5,0.03611111111111111,0.05252130666996955,5,0.03611111111111111,0.05252130666996955,5,1.0,0.0,5
steady_k2,pooled_conditional,observed,warehouse,stable,0.18006495159061756,0.07698269170746241,5,0.10138888888888889,0.04673977408462177,5,0.8766233766233766,0.1394214971011941,5,0.3884915985090349,0.11635132120647491,5,0.0007936507936507937,0.0007522693892908284,5,0.01111111111111111,0.02484519974999766,5,0.9027777777777779,0.045005143738943466,5,0.6666666666666666,0.0,5,0.03611111111111111,0.05252130666996955,5,0.03611111111111111,0.05252130666996955,5,1.0,0.0,5
steady_k2,pooled_marginal,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.013518518518518518,0.003908009529797368,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.013518518518518518,0.003908009529797368,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.037037037037037035,0.011812361872382474,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.037037037037037035,0.011812361872382474,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,transit_smooth,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0015740740740740743,0.0011620278146306604,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,transit_smooth,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0015740740740740743,0.0011620278146306604,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,warehouse,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0019444444444444444,0.0017750268067297048,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
steady_k2,pooled_marginal,clean,warehouse,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0019444444444444444,0.0017750268067297048,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
