method,scenario,regime,n_cells_mean,n_cells_std,n_cells_count,positive_cells_mean,positive_cells_std,positive_cells_count,tp_mean,tp_std,tp_count,fp_mean,fp_std,fp_count,fn_mean,fn_std,fn_count,tn_mean,tn_std,tn_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,average_precision_mean,average_precision_std,average_precision_count,top1_localization_mean,top1_localization_std,top1_localization_count,localization_rows_mean,localization_rows_std,localization_rows_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,bystander_cells_mean,bystander_cells_std,bystander_cells_count,clean_row_alarm_rate_mean,clean_row_alarm_rate_std,clean_row_alarm_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,common_complete_row_fraction_mean,common_complete_row_fraction_std,common_complete_row_fraction_count
regime_marginal,observed,all,5646.0,0.0,5,154.0,0.0,5,98.8,8.814760348415605,5,63.6,13.126309458488326,5,55.2,8.814760348415605,5,5428.4,13.126309458488466,5,0.6101036473737589,0.06352158274800992,5,0.6415584415584416,0.05723870356114029,5,0.6249739562930119,0.0579471657864024,5,0.011580480699198835,0.0023900781971027537,5,0.6832490503542739,0.05896143445175539,5,0.8532467532467531,0.028155173232050353,5,154.0,0.0,5,0.01038961038961039,0.004815713303308871,5,308.0,0.0,5,0.03263888888888889,0.006267657669704773,5,0.9934027777777776,0.0,5,0.9802083333333333,0.0,5
regime_marginal,observed,transit_rough,1887.0,37.70941526992961,5,58.4,9.396807968666806,5,31.2,3.63318042491699,5,26.0,10.606601717798213,5,27.2,7.155417527999327,5,1802.6,29.72877394040997,5,0.5571434801041729,0.07517537468149026,5,0.5393526284230414,0.05788189723685719,5,0.5475254279877864,0.06457547116603231,5,0.014184394976382015,0.0056528375982617405,5,0.5902220410917862,0.06593201098764095,5,0.8128852661470736,0.07754232349693264,5,58.4,9.396807968666806,5,0.01277116972759768,0.0084125376911735,5,116.8,18.793615937333612,5,0.03892261185321267,0.012153187094737094,5,0.9942708333333334,0.006546773484362811,5,0.9828125,0.01964032045308834,5
regime_marginal,observed,transit_smooth,1893.0,29.8496231131986,5,48.2,10.986355173577815,5,31.8,8.043631020876083,5,19.2,5.805170109479997,5,16.4,7.3006848993775915,5,1825.6,32.37746129640185,5,0.6194827586206897,0.13398728875075075,5,0.6618758405555856,0.1187476177240692,5,0.6365952410916998,0.11879845347808926,5,0.010420262184333597,0.0031525171238979684,5,0.693347555837727,0.11491430018130554,5,0.8696874384478075,0.058252182985755546,5,48.2,10.986355173577815,5,0.011449165954797995,0.010857374448833544,5,96.4,21.97271034715563,5,0.029547260100005357,0.009443971476409853,5,0.9953125,0.005182226234930331,5,0.9859375,0.01554667870479096,5
regime_marginal,observed,warehouse,1866.0,18.12456896039186,5,47.4,12.700393694685216,5,35.8,7.791020472312982,5,18.4,5.683308895353129,5,11.6,7.536577472566709,5,1800.2,21.393924371185378,5,0.6599160240673916,0.09040454240527043,5,0.7686442577030812,0.09463612193396594,5,0.7021280306994593,0.040516962650524,5,0.010100773441536953,0.003083005282044326,5,0.7994681667713353,0.07135083185151628,5,0.8915219421101774,0.04186685556991072,5,47.4,12.700393694685216,5,0.00592156862745098,0.008791226271788478,5,94.8,25.400787389370432,5,0.02948281212703887,0.009425748696122555,5,0.990625,0.0031466265556235953,5,0.971875,0.009439879666870755,5
single_marginal,clean,all,5760.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2491.0,19.723082923316,5,0.0,0.0,5,3269.0,19.723082923316,5,0.0,0.0,5,,,0,0.0,0.0,5,0.43246527777777777,0.003424146340853485,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.67625,0.0033063688016883312,5,1.0,0.0,5,1.0,0.0,5
single_marginal,clean,transit_rough,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1373.8,21.533694527414468,5,0.0,0.0,5,546.2,21.533694527414468,5,0.0,0.0,5,,,0,0.0,0.0,5,0.7155208333333334,0.011215465899695,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,5
single_marginal,clean,transit_smooth,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1098.0,28.574464124459098,5,0.0,0.0,5,822.0,28.574464124459098,5,0.0,0.0,5,,,0,0.0,0.0,5,0.571875,0.014882533398155784,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,5
single_marginal,clean,warehouse,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,19.2,5.932958789676531,5,0.0,0.0,5,1900.8,5.93295878967651,5,0.0,0.0,5,,,0,0.0,0.0,5,0.01,0.003090082702956527,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.028749999999999998,0.009919106405064923,5,1.0,0.0,5,1.0,0.0,5
single_marginal,observed,all,5646.0,0.0,5,154.0,0.0,5,107.6,13.885243966167826,5,2374.2,14.989996664442547,5,46.4,13.885243966167826,5,3117.8,14.989996664442547,5,0.043335794384016045,0.005391510323856816,5,0.6987012987012987,0.09016392185823263,5,0.08160966003449077,0.01017476433994277,5,0.4323015294974509,0.0027294240102772507,5,0.14439186088696404,0.0651089547659993,5,0.548051948051948,0.15016716383960788,5,154.0,0.0,5,0.4116883116883117,0.07528688035228509,5,308.0,0.0,5,0.6773148148148148,0.007349764869609522,5,0.9934027777777776,0.0,5,0.9802083333333333,0.0,5
single_marginal,observed,transit_rough,1887.0,37.70941526992961,5,58.4,9.396807968666806,5,39.8,7.395944834840239,5,1307.2,34.83102065687999,5,18.6,11.674759098157015,5,521.4,23.362362894193723,5,0.029549361399436768,0.005403738119262417,5,0.6940172508963071,0.15743964981342584,5,0.056642588043273864,0.010368959980383261,5,0.7148374052456389,0.012406609947447805,5,0.1629636764578666,0.0983811252855933,5,0.3589032423062884,0.20508874624718984,5,58.4,9.396807968666806,5,0.6816889128261376,0.04465939183718093,5,116.8,18.793615937333612,5,1.0,0.0,5,0.9942708333333334,0.006546773484362811,5,0.9828125,0.01964032045308834,5
single_marginal,observed,transit_smooth,1893.0,29.8496231131986,5,48.2,10.986355173577815,5,32.0,11.937336386313323,5,1048.6,35.906823863995555,5,16.2,7.259476565152614,5,796.2,23.60508419811292,5,0.029610091877794953,0.01101349134743163,5,0.6536138519402483,0.16749811843212148,5,0.056551802541911764,0.020658989284297356,5,0.5683368246031507,0.013790756117556788,5,0.3421782059878546,0.18066729568021986,5,0.43941647251016513,0.15715572610871778,5,48.2,10.986355173577815,5,0.4795585428629641,0.04796206031763758,5,96.4,21.97271034715563,5,1.0,0.0,5,0.9953125,0.005182226234930331,5,0.9859375,0.01554667870479096,5
single_marginal,observed,warehouse,1866.0,18.12456896039186,5,47.4,12.700393694685216,5,35.8,7.791020472312982,5,18.4,5.683308895353129,5,11.6,7.536577472566709,5,1800.2,21.393924371185378,5,0.6599160240673916,0.09040454240527043,5,0.7686442577030812,0.09463612193396594,5,0.7021280306994593,0.040516962650524,5,0.010100773441536953,0.003083005282044326,5,0.7994681667713353,0.07135083185151628,5,0.8915219421101774,0.04186685556991072,5,47.4,12.700393694685216,5,0.00592156862745098,0.008791226271788478,5,94.8,25.400787389370432,5,0.02948281212703887,0.009425748696122555,5,0.990625,0.0031466265556235953,5,0.971875,0.009439879666870755,5
