seed,method,scenario,regime,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction
42,single_marginal,observed,all,5646,154,88,2385,66,3107,0.03558431055398301,0.5714285714285714,0.06699657403882756,0.4342680262199563,0.08647866880680698,0.42857142857142855,154,0.43506493506493504,308,0.6834490740740741,0.9934027777777777,0.9802083333333333
42,single_marginal,observed,warehouse,1860,50,37,25,13,1785,0.5967741935483871,0.74,0.6607142857142857,0.013812154696132596,0.7750558274797481,0.9,50,0.01,100,0.04035087719298246,0.9895833333333334,0.96875
42,single_marginal,observed,transit_smooth,1866,43,18,1056,25,767,0.01675977653631285,0.4186046511627907,0.03222918531781558,0.5792649478880966,0.27470517656638305,0.27906976744186046,43,0.5348837209302325,86,1.0,0.990625,0.971875
42,single_marginal,observed,transit_rough,1920,61,33,1304,28,555,0.02468212415856395,0.5409836065573771,0.04721030042918455,0.7014523937600861,0.08810377205396758,0.14754098360655737,61,0.7131147540983607,122,1.0,1.0,1.0
42,single_marginal,clean,all,5760,0,0,2491,0,3269,0.0,,0.0,0.43246527777777777,,,0,,0,0.6796875,1.0,1.0
42,single_marginal,clean,warehouse,1920,0,0,26,0,1894,0.0,,0.0,0.013541666666666667,,,0,,0,0.0390625,1.0,1.0
42,single_marginal,clean,transit_smooth,1920,0,0,1120,0,800,0.0,,0.0,0.5833333333333334,,,0,,0,1.0,1.0,1.0
42,single_marginal,clean,transit_rough,1920,0,0,1345,0,575,0.0,,0.0,0.7005208333333334,,,0,,0,1.0,1.0,1.0
42,pooled_marginal,observed,all,5646,154,56,64,98,5428,0.4666666666666667,0.36363636363636365,0.40875912408759124,0.011653313911143482,0.38978923295467616,0.6363636363636364,154,0.012987012987012988,308,0.030671296296296297,0.9934027777777777,0.9802083333333333
42,pooled_marginal,observed,warehouse,1860,50,18,12,32,1798,0.6,0.36,0.45,0.0066298342541436465,0.45037282986105076,0.62,50,0.0,100,0.021052631578947368,0.9895833333333334,0.96875
42,pooled_marginal,observed,transit_smooth,1866,43,16,4,27,1819,0.8,0.37209302325581395,0.5079365079365079,0.0021941854086670325,0.5650150588445672,0.8372093023255814,43,0.0,86,0.0069084628670120895,0.990625,0.971875
42,pooled_marginal,observed,transit_rough,1920,61,22,48,39,1811,0.3142857142857143,0.36065573770491804,0.33587786259541985,0.025820333512641205,0.30243651937752164,0.5081967213114754,61,0.03278688524590164,122,0.06390328151986183,1.0,1.0
42,pooled_marginal,clean,all,5760,0,0,67,0,5693,0.0,,0.0,0.011631944444444445,,,0,,0,0.030729166666666665,1.0,1.0
42,pooled_marginal,clean,warehouse,1920,0,0,13,0,1907,0.0,,0.0,0.0067708333333333336,,,0,,0,0.0203125,1.0,1.0
