scenario,method,alpha,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count
steady_k2,regime_conditional,0.2,clean,0.05833333333333333,0.04007371679514864,5,0.05833333333333333,0.04007371679514864,5,0.004166666666666667,0.009316949906249122,5,5.079166666666667,1.560826881994142,4,8.633333333333333,0.28739430424264,5
steady_k2,regime_conditional,0.2,observed,0.95,0.011410886614691014,5,0.9333333333333333,0.022821773229381878,5,0.04583333333333333,0.03726779962499649,5,2.4608133917537356,0.3784986382100424,5,2.7916666666666665,0.47186465220442203,5
steady_k2,regime_conditional,1.0,clean,0.1,0.01743041721945991,5,0.1,0.01743041721945991,5,0.016666666666666666,0.01743041721945991,5,4.6,2.3119256043393785,5,8.55,0.11082863398558658,5
steady_k2,regime_conditional,1.0,observed,0.875,0.046584749531245626,5,0.8708333333333333,0.049738901609638835,5,0.029166666666666664,0.01141088661469096,5,1.4619193855240367,0.533614529728129,5,2.341666666666667,0.2044428404224516,5
steady_k2,regime_marginal,0.2,clean,0.029166666666666664,0.018633899812498248,5,0.020833333333333332,0.020833333333333332,5,0.0125,0.027950849718747374,5,5.0,1.8027756377319946,3,8.870833333333334,0.13928762208705633,5
steady_k2,regime_marginal,0.2,observed,0.7625,0.03159531435021478,5,0.7458333333333333,0.017430417219459936,5,0.04166666666666667,0.04166666666666667,5,4.084847704847705,0.3978639469049871,5,4.9208333333333325,0.31263885803840114,5
steady_k2,regime_marginal,1.0,clean,0.05,0.05229125165837972,5,0.05,0.05229125165837972,5,0.008333333333333333,0.01141088661469096,5,3.645833333333333,0.7465197027987048,4,8.729166666666666,0.2663898302613422,5
steady_k2,regime_marginal,1.0,observed,0.8166666666666667,0.08254838648399568,5,0.8166666666666667,0.08254838648399568,5,0.0125,0.01141088661469096,5,2.2134562920604113,0.5387831512133029,5,3.1791666666666663,0.592670802853958,5
steady_m05,regime_conditional,0.2,clean,0.06666666666666667,0.04750730937913076,5,0.06666666666666667,0.04750730937913076,5,0.008333333333333333,0.018633899812498245,5,6.5,1.9578900207451218,4,8.666666666666668,0.26679684322636904,5
steady_m05,regime_conditional,0.2,observed,0.2,0.054326686710022075,5,0.19166666666666668,0.04750730937913076,5,0.016666666666666666,0.02282177322938192,5,4.82,1.8513658621557103,5,8.058333333333334,0.3041952041407327,5
