scenario,method,alpha,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count
steady_k2,regime_conditional,0.2,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011635802469135804,0.00417038014676251,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013775199257084725,0.005532274420698056,5,6.9753086419753085,0.9905436133260007,5
steady_k2,regime_conditional,0.2,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011635802469135804,0.00417038014676251,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013775199257084725,0.005532274420698056,5,6.9753086419753085,0.9905436133260007,5
steady_k2,regime_conditional,0.2,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012129629629629629,0.003781021664647299,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013847001763668428,0.00724289561657601,5,7.314814814814815,1.2422599874998836,5
steady_k2,regime_conditional,0.2,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012129629629629629,0.003781021664647299,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013847001763668428,0.00724289561657601,5,7.314814814814815,1.2422599874998836,5
steady_k2,regime_conditional,0.2,clean,transit_smooth,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008796296296296297,0.005819354208322469,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.005721966205837174,0.005680449181904945,5,5.277777777777778,1.0658207808538276,5
steady_k2,regime_conditional,0.2,clean,transit_smooth,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008796296296296297,0.005819354208322469,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.005721966205837174,0.005680449181904945,5,5.277777777777778,1.0658207808538276,5
steady_k2,regime_conditional,0.2,clean,warehouse,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01398148148148148,0.008160501998464373,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.02138888888888889,0.018505022570629474,5,8.333333333333334,2.797001382776522,5
steady_k2,regime_conditional,0.2,clean,warehouse,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01398148148148148,0.008160501998464373,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.02138888888888889,0.018505022570629474,5,8.333333333333334,2.797001382776522,5
steady_k2,regime_conditional,0.2,observed,all,all,0.6045822666313112,0.023911023769846065,5,0.6837962962962962,0.05302896690102352,5,0.5432232387406666,0.015985712349545267,5,0.6316411480476801,0.038807652350838356,5,0.04113756613756614,0.004216107736275789,5,0.2101851851851852,0.0548371763697631,5,0.8953703703703704,0.05243962496164494,5,0.6666666666666666,0.0,5,0.5675925925925925,0.06469897054917839,5,0.43611111111111106,0.07160227751548594,5,1.0,0.0,5,0.2484695819275231,0.05123332020468857,5,9.788359788359788,1.8974970308128005,5
steady_k2,regime_conditional,0.2,observed,all,stable,0.6045822666313112,0.023911023769846065,5,0.6837962962962962,0.05302896690102352,5,0.5432232387406666,0.015985712349545267,5,0.6316411480476801,0.038807652350838356,5,0.04113756613756614,0.004216107736275789,5,0.2101851851851852,0.0548371763697631,5,0.8953703703703704,0.05243962496164494,5,0.6666666666666666,0.0,5,0.5675925925925925,0.06469897054917839,5,0.43611111111111106,0.07160227751548594,5,1.0,0.0,5,0.2484695819275231,0.05123332020468857,5,9.788359788359788,1.8974970308128005,5
