scenario,method,alpha,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count
switch_d12,regime_marginal,0.2,observed,all,transition,-0.00537748616754973,0.012904069776494283,5,-0.04365079365079365,0.15409910983291739,5,-0.0029396629954624278,0.0066762154185364365,5,-0.0011509468621037754,0.0036686744294957443,5,0.026535241330213753,0.02349414371819107,5,-0.0027380952380952283,0.061502239879569244,5,0.004761904761904756,0.010647942749998985,5,0.0,0.0,5,-0.04365079365079365,0.15409910983291739,5,0.02055555555555555,0.05718445355509714,5,0.0,0.0,5,0.04666666666666664,0.11282360864050871,5,-35.899720567631256,4.974142074420691,5
switch_d12,regime_marginal,0.2,observed,transit_rough,all,0.04398331179615063,0.04313471946182414,5,0.12155945419103313,0.08136251773352321,5,0.021417162354915024,0.03657946055857674,5,0.011509921626429281,0.008838641471281945,5,0.01036117527730114,0.016318368794941047,5,-0.010185185185185183,0.011527684812952525,5,0.023294346978557458,0.04873099411305886,5,0.0,0.0,5,0.12155945419103313,0.08136251773352321,5,0.14664717348927875,0.09730448624559693,5,0.0,0.0,5,0.02755952380952382,0.05920750948371582,5,-7.510098061995431,3.896542345363567,5
switch_d12,regime_marginal,0.2,observed,transit_rough,stable,0.14909988513164701,0.13661172332457122,5,0.16375,0.11398877733366866,5,0.10909851360676744,0.29159247489807977,5,0.16092379679192614,0.1408400524288398,5,0.0039018521501503712,0.015184323202466826,5,-0.003125,0.01015291077584267,5,0.02486111111111111,0.05634508424448861,5,0.0,0.0,5,0.16375,0.11398877733366866,5,0.16375,0.11398877733366866,5,0.0,0.0,5,0.021326933935629587,0.06674699812114308,5,-4.253520820969213,4.162267445984951,5
switch_d12,regime_marginal,0.2,observed,transit_rough,transition,-0.01743612579903998,0.021734440254835685,5,-0.1388888888888889,0.2421610524189263,4,-0.009987141767462132,0.01226085271223655,5,-0.001666088362020513,0.006253836056823829,4,0.052622143420015755,0.055395593786961794,5,-0.041666666666666685,0.09487917375888513,4,0.013888888888888881,0.027777777777777762,4,0.0,0.0,4,-0.1388888888888889,0.2421610524189263,4,0.04166666666666666,0.08333333333333331,4,0.0,0.0,5,0.04666666666666667,0.07302967433402213,5,-28.875098502758078,13.250469315436552,5
switch_d12,regime_marginal,0.2,observed,transit_smooth,all,0.04944967559314672,0.06634428439895264,5,0.11187978687978686,0.1334179805208302,5,0.03137535855511424,0.0437940981522712,5,0.008852058503411322,0.013118260544538065,5,0.003536538239020978,0.0027872102287369014,5,0.00564435564435564,0.011619487033366517,5,0.07655955155955159,0.05175287959654068,5,0.0,0.0,5,0.11187978687978686,0.1334179805208302,5,0.1144050394050394,0.13934429188384279,5,0.0,0.0,5,0.05177671270937525,0.06453522712805751,5,-11.723461417068263,4.825168546750893,5
switch_d12,regime_marginal,0.2,observed,transit_smooth,stable,0.14203600609769884,0.12787874577263966,5,0.1388888888888889,0.12160729294984783,5,0.1143815489556222,0.1319677007957583,5,0.1228581106294,0.11936514602468894,5,-0.0006538130787223751,0.003900634482556566,5,0.001282051282051282,0.0070220840705790535,5,0.1053224553224553,0.08548381432438083,5,0.0,0.0,5,0.1388888888888889,0.12160729294984783,5,0.1388888888888889,0.12160729294984783,5,0.0,0.0,5,0.05015873015873016,0.05433001997789703,5,-6.7951282071308245,4.748423314992496,5
switch_d12,regime_marginal,0.2,observed,transit_smooth,transition,-0.01547673651227582,0.018175426470344064,5,-0.11666666666666667,0.15752718754175363,4,-0.008756344947814134,0.010661640800833079,5,-0.001168712105752508,0.010637088772511544,4,0.03103066951597595,0.005843896959798626,5,0.012499999999999983,0.024999999999999967,4,0.0,0.0,4,0.0,0.0,4,-0.11666666666666667,0.15752718754175363,4,-0.04166666666666667,0.08333333333333334,4,0.0,0.0,5,0.13682539682539682,0.2589817648942586,5,-44.18881036555778,7.603673191914319,5
switch_d12,regime_marginal,0.2,observed,warehouse,all,0.07243546208217663,0.049389311669197425,5,0.17883597883597885,0.08180979003610628,5,0.04398270662719149,0.03763878687256386,5,0.02190346303879059,0.012919312151181854,5,0.0074239152934937715,0.012265489380553767,5,0.0014463083213083188,0.01278533498839642,5,0.08849386724386728,0.08237942240433917,5,0.0,0.0,5,0.17883597883597885,0.08180979003610628,5,0.1712085137085137,0.09999487589917297,5,0.0,0.0,5,0.11755656108597286,0.032106969633557844,5,-8.658328895453579,2.4535311120950056,5
switch_d12,regime_marginal,0.2,observed,warehouse,stable,0.10101626843639169,0.12256083305483884,5,0.16728913787737315,0.08890975331090421,5,-0.018051923255575898,0.1476381380970191,5,0.10241914134727452,0.13545963121516233,5,0.009111270763022459,0.00937918193512831,5,0.0008465608465608471,0.015480881575461443,5,0.09284002489884843,0.08505553847400256,5,0.0,0.0,5,0.16728913787737315,0.08890975331090421,5,0.17578120136943665,0.09434555004182331,5,0.0,0.0,5,0.12826923076923075,0.030179647843939804,5,-4.551122988385233,3.012664643068985,5
switch_d12,regime_marginal,0.2,observed,warehouse,transition,0.01400517357432976,0.030054609286886393,5,0.19444444444444442,0.33678765702728164,3,0.0073770378762063795,0.015986486517768912,5,0.008439384871976955,0.010932650723773436,3,-0.0029166549864977354,0.04613491142233054,5,-0.020833333333333353,0.14583333333333334,3,0.0,0.0,3,0.0,0.0,3,0.19444444444444442,0.33678765702728164,3,0.125,0.18162078931419476,3,0.0,0.0,5,0.0,0.0,3,-35.04774853063475,7.981487300581626,5
switch_d4,regime_conditional,0.2,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.00030864197530863985,0.0026884647207074605,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.007537256320338834,0.00870053251460725,5,-5.15432098765432,1.950802850995121,5
switch_d4,regime_conditional,0.2,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0003917378917378912,0.0043038158159561,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.0044877263359515505,0.011258837156590212,5,-3.9173789173789175,2.314814814814815,5
switch_d4,regime_conditional,0.2,clean,all,transition,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.00486111111111111,0.010620434950883755,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.0338888888888889,0.05227833864382098,5,-13.194444444444446,7.960068918541389,5
switch_d4,regime_conditional,0.2,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.003796296296296295,0.005941458232279844,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.01915343915343915,0.021957353220100062,5,-7.129629629629631,3.990622581390731,5
switch_d4,regime_conditional,0.2,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0020299145299145296,0.008096077432514134,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.012222222222222221,0.016850834320114555,5,-5.021367521367521,5.735995596387229,5
switch_d4,regime_conditional,0.2,clean,transit_rough,transition,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.015277777777777769,0.02003685839757432,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.061111111111111116,0.06916610887771518,5,-20.833333333333332,13.888888888888888,5
switch_d4,regime_conditional,0.2,clean,transit_smooth,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0016666666666666676,0.0029023014849365713,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.014827179184764325,0.017600481311575544,5,-5.555555555555555,3.9419875847051844,5
