seed,scenario,method,alpha,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,event_channel_count
42,steady_k2,regime_conditional,0.2,clean,0.0,0.0,0.020833333333333332,,9.0,48
42,steady_k2,regime_conditional,0.2,observed,0.9375,0.8958333333333334,0.08333333333333333,3.0697674418604652,3.625,48
42,steady_k2,regime_conditional,1.0,clean,0.125,0.125,0.020833333333333332,7.5,8.5625,48
42,steady_k2,regime_conditional,1.0,observed,0.8958333333333334,0.8958333333333334,0.020833333333333332,1.7674418604651163,2.5833333333333335,48
42,steady_k2,regime_marginal,0.2,clean,0.041666666666666664,0.0,0.0625,,9.0,48
42,steady_k2,regime_marginal,0.2,observed,0.8125,0.7708333333333334,0.10416666666666667,4.27027027027027,5.041666666666667,48
42,steady_k2,regime_marginal,1.0,clean,0.0,0.0,0.020833333333333332,,9.0,48
42,steady_k2,regime_marginal,1.0,observed,0.9583333333333334,0.9583333333333334,0.020833333333333332,2.239130434782609,2.5208333333333335,48
42,steady_m05,regime_conditional,0.2,clean,0.0,0.0,0.041666666666666664,,9.0,24
42,steady_m05,regime_conditional,0.2,observed,0.25,0.20833333333333334,0.041666666666666664,7.4,8.291666666666666,24
42,steady_m05,regime_conditional,1.0,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,9.0,8.75,24
42,steady_m05,regime_conditional,1.0,observed,0.125,0.125,0.041666666666666664,7.333333333333333,8.416666666666666,24
42,steady_m05,regime_marginal,0.2,clean,0.041666666666666664,0.0,0.08333333333333333,,9.0,24
42,steady_m05,regime_marginal,0.2,observed,0.08333333333333333,0.041666666666666664,0.08333333333333333,5.0,8.708333333333334,24
42,steady_m05,regime_marginal,1.0,clean,0.0,0.0,0.041666666666666664,,9.0,24
42,steady_m05,regime_marginal,1.0,observed,0.08333333333333333,0.08333333333333333,0.041666666666666664,5.5,8.458333333333334,24
42,steady_m1,regime_conditional,0.2,clean,0.0,0.0,0.041666666666666664,,9.0,24
42,steady_m1,regime_conditional,0.2,observed,0.5833333333333334,0.5833333333333334,0.08333333333333333,5.142857142857143,5.75,24
42,steady_m1,regime_conditional,1.0,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,9.0,8.75,24
42,steady_m1,regime_conditional,1.0,observed,0.4583333333333333,0.4583333333333333,0.041666666666666664,3.8181818181818183,6.5,24
42,steady_m1,regime_marginal,0.2,clean,0.041666666666666664,0.0,0.08333333333333333,,9.0,24
42,steady_m1,regime_marginal,0.2,observed,0.3333333333333333,0.2916666666666667,0.08333333333333333,6.571428571428571,7.666666666666667,24
42,steady_m1,regime_marginal,1.0,clean,0.0,0.0,0.041666666666666664,,9.0,24
42,steady_m1,regime_marginal,1.0,observed,0.2916666666666667,0.2916666666666667,0.041666666666666664,4.285714285714286,7.5,24
42,steady_m2_r10_k1,regime_conditional,0.2,clean,0.0,0.0,0.041666666666666664,,9.0,24
