seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,alpha
42,steady_m05,regime_marginal,clean,all,all,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m05,regime_marginal,clean,all,stable,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m05,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
42,steady_m05,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
42,steady_m05,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m05,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m05,regime_marginal,clean,transit_rough,all,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m05,regime_marginal,clean,transit_rough,stable,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m05,regime_marginal,observed,all,all,0.007214848267885663,0.004629629629629629,0.01608391608391608,0.009222346159144947,0.00031928480204342254,0.013888888888888888,0.13888888888888895,0.0,0.004629629629629629,-0.004629629629629629,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m05,regime_marginal,observed,all,stable,0.007214848267885663,0.004629629629629629,0.01608391608391608,0.009222346159144947,0.00031928480204342254,0.013888888888888888,0.13888888888888895,0.0,0.004629629629629629,-0.004629629629629629,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m05,regime_marginal,observed,warehouse,all,0.028346994535519126,0.027777777777777776,0.018333333333333333,0.015410585649303685,0.011494252873563218,0.034722222222222224,0.06944444444444442,0.0,0.027777777777777776,0.0,0.0,-0.020833333333333332,-3.352490421455939,0.2
42,steady_m05,regime_marginal,observed,warehouse,stable,0.028346994535519126,0.027777777777777776,0.018333333333333333,0.015410585649303685,0.011494252873563218,0.034722222222222224,0.06944444444444442,0.0,0.027777777777777776,0.0,0.0,-0.020833333333333332,-3.352490421455939,0.2
42,steady_m05,regime_marginal,observed,transit_smooth,all,-0.022727272727272728,-0.013888888888888888,-0.0625,0.0032444770075109736,-0.005747126436781609,0.0,0.1527777777777778,0.0,-0.013888888888888888,-0.013888888888888888,0.0,0.0,-5.747126436781609,0.2
42,steady_m05,regime_marginal,observed,transit_smooth,stable,-0.022727272727272728,-0.013888888888888888,-0.0625,0.0032444770075109736,-0.005747126436781609,0.0,0.1527777777777778,0.0,-0.013888888888888888,-0.013888888888888888,0.0,0.0,-5.747126436781609,0.2
