seed,scenario,method,alpha,view,regime,window,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_m05,regime_marginal,0.2,observed,all,all,6480,216,3,52,213,6212,0.05454545454545454,0.013888888888888888,0.02214022140221402,0.008301404853128991,0.04907065569175252,0.5370370370370371,216,0.013888888888888888,432,0.018518518518518517,1.0,1.0,0.3333333333333333,0.013888888888888888,0.004629629629629629,270,0.0,3.033205619412516
42,steady_m05,regime_marginal,0.2,observed,all,stable,6480,216,3,52,213,6212,0.05454545454545454,0.013888888888888888,0.02214022140221402,0.008301404853128991,0.04907065569175252,0.5370370370370371,216,0.013888888888888888,432,0.018518518518518517,1.0,1.0,0.3333333333333333,0.013888888888888888,0.004629629629629629,270,0.0,3.033205619412516
42,steady_m05,regime_marginal,0.2,observed,warehouse,all,2160,72,3,47,69,2041,0.06,0.041666666666666664,0.04918032786885246,0.022509578544061302,0.05543862676921618,0.5,72,0.034722222222222224,144,0.04938271604938271,1.0,1.0,0.3333333333333333,0.041666666666666664,0.013888888888888888,96,0.0,6.704980842911877
42,steady_m05,regime_marginal,0.2,observed,warehouse,stable,2160,72,3,47,69,2041,0.06,0.041666666666666664,0.04918032786885246,0.022509578544061302,0.05543862676921618,0.5,72,0.034722222222222224,144,0.04938271604938271,1.0,1.0,0.3333333333333333,0.041666666666666664,0.013888888888888888,96,0.0,6.704980842911877
42,steady_m05,regime_marginal,0.2,observed,transit_smooth,all,2160,72,0,3,72,2085,0.0,0.0,0.0,0.0014367816091954023,0.03981555777429211,0.4861111111111111,72,0.0,144,0.004629629629629629,1.0,1.0,0.3333333333333333,0.0,0.0,84,0.0,1.4367816091954022
42,steady_m05,regime_marginal,0.2,observed,transit_smooth,stable,2160,72,0,3,72,2085,0.0,0.0,0.0,0.0014367816091954023,0.03981555777429211,0.4861111111111111,72,0.0,144,0.004629629629629629,1.0,1.0,0.3333333333333333,0.0,0.0,84,0.0,1.4367816091954022
42,steady_m05,regime_marginal,0.2,observed,transit_rough,all,2160,72,0,2,72,2086,0.0,0.0,0.0,0.0009578544061302681,0.056361007030662484,0.625,72,0.006944444444444444,144,0.0015432098765432098,1.0,1.0,0.3333333333333333,0.0,0.0,90,0.0,0.9578544061302682
42,steady_m05,regime_marginal,0.2,observed,transit_rough,stable,2160,72,0,2,72,2086,0.0,0.0,0.0,0.0009578544061302681,0.056361007030662484,0.625,72,0.006944444444444444,144,0.0015432098765432098,1.0,1.0,0.3333333333333333,0.0,0.0,90,0.0,0.9578544061302682
42,steady_m05,regime_conditional,1.0,clean,all,all,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.037037037037037035,1.0,1.0,,,,270,0.025925925925925925,12.654320987654321
42,steady_m05,regime_conditional,1.0,clean,all,stable,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.037037037037037035,1.0,1.0,,,,270,0.025925925925925925,12.654320987654321
42,steady_m05,regime_conditional,1.0,clean,warehouse,all,2160,0,0,37,0,2123,0.0,,0.0,0.01712962962962963,,,0,,0,0.04861111111111111,1.0,1.0,,,,96,0.020833333333333332,16.666666666666668
42,steady_m05,regime_conditional,1.0,clean,warehouse,stable,2160,0,0,37,0,2123,0.0,,0.0,0.01712962962962963,,,0,,0,0.04861111111111111,1.0,1.0,,,,96,0.020833333333333332,16.666666666666668
42,steady_m05,regime_conditional,1.0,clean,transit_smooth,all,2160,0,0,20,0,2140,0.0,,0.0,0.009259259259259259,,,0,,0,0.027777777777777776,1.0,1.0,,,,84,0.023809523809523808,9.25925925925926
42,steady_m05,regime_conditional,1.0,clean,transit_smooth,stable,2160,0,0,20,0,2140,0.0,,0.0,0.009259259259259259,,,0,,0,0.027777777777777776,1.0,1.0,,,,84,0.023809523809523808,9.25925925925926
42,steady_m05,regime_conditional,1.0,clean,transit_rough,all,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,,90,0.03333333333333333,12.037037037037036
42,steady_m05,regime_conditional,1.0,clean,transit_rough,stable,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,,90,0.03333333333333333,12.037037037037036
42,steady_m05,regime_conditional,1.0,observed,all,all,6480,216,3,79,213,6185,0.036585365853658534,0.013888888888888888,0.020134228187919462,0.012611749680715198,0.04309146485023933,0.4212962962962963,216,0.016203703703703703,432,0.0360082304526749,1.0,1.0,0.3333333333333333,0.013888888888888888,0.009259259259259259,270,0.025925925925925925,12.452107279693486
42,steady_m05,regime_conditional,1.0,observed,all,stable,6480,216,3,79,213,6185,0.036585365853658534,0.013888888888888888,0.020134228187919462,0.012611749680715198,0.04309146485023933,0.4212962962962963,216,0.016203703703703703,432,0.0360082304526749,1.0,1.0,0.3333333333333333,0.013888888888888888,0.009259259259259259,270,0.025925925925925925,12.452107279693486
42,steady_m05,regime_conditional,1.0,observed,warehouse,all,2160,72,1,36,71,2052,0.02702702702702703,0.013888888888888888,0.01834862385321101,0.017241379310344827,0.0543392072240262,0.4166666666666667,72,0.020833333333333332,144,0.04938271604938271,1.0,1.0,0.3333333333333333,0.013888888888888888,0.0,96,0.020833333333333332,16.762452107279692
42,steady_m05,regime_conditional,1.0,observed,warehouse,stable,2160,72,1,36,71,2052,0.02702702702702703,0.013888888888888888,0.01834862385321101,0.017241379310344827,0.0543392072240262,0.4166666666666667,72,0.020833333333333332,144,0.04938271604938271,1.0,1.0,0.3333333333333333,0.013888888888888888,0.0,96,0.020833333333333332,16.762452107279692
42,steady_m05,regime_conditional,1.0,observed,transit_smooth,all,2160,72,1,21,71,2067,0.045454545454545456,0.013888888888888888,0.02127659574468085,0.010057471264367816,0.03331750920495588,0.3472222222222222,72,0.020833333333333332,144,0.027777777777777776,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888,84,0.023809523809523808,10.057471264367816
42,steady_m05,regime_conditional,1.0,observed,transit_smooth,stable,2160,72,1,21,71,2067,0.045454545454545456,0.013888888888888888,0.02127659574468085,0.010057471264367816,0.03331750920495588,0.3472222222222222,72,0.020833333333333332,144,0.027777777777777776,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888,84,0.023809523809523808,10.057471264367816
42,steady_m05,regime_conditional,1.0,observed,transit_rough,all,2160,72,1,22,71,2066,0.043478260869565216,0.013888888888888888,0.021052631578947368,0.01053639846743295,0.054430332550930945,0.5,72,0.006944444444444444,144,0.030864197530864196,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888,90,0.03333333333333333,10.53639846743295
42,steady_m05,regime_conditional,1.0,observed,transit_rough,stable,2160,72,1,22,71,2066,0.043478260869565216,0.013888888888888888,0.021052631578947368,0.01053639846743295,0.054430332550930945,0.5,72,0.006944444444444444,144,0.030864197530864196,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888,90,0.03333333333333333,10.53639846743295
42,steady_m05,regime_conditional,0.2,clean,all,all,6480,0,0,53,0,6427,0.0,,0.0,0.008179012345679013,,,0,,0,0.024074074074074074,1.0,1.0,,,,270,0.011111111111111112,6.635802469135802
42,steady_m05,regime_conditional,0.2,clean,all,stable,6480,0,0,53,0,6427,0.0,,0.0,0.008179012345679013,,,0,,0,0.024074074074074074,1.0,1.0,,,,270,0.011111111111111112,6.635802469135802
42,steady_m05,regime_conditional,0.2,clean,warehouse,all,2160,0,0,19,0,2141,0.0,,0.0,0.008796296296296297,,,0,,0,0.02638888888888889,1.0,1.0,,,,96,0.010416666666666666,6.018518518518518
42,steady_m05,regime_conditional,0.2,clean,warehouse,stable,2160,0,0,19,0,2141,0.0,,0.0,0.008796296296296297,,,0,,0,0.02638888888888889,1.0,1.0,,,,96,0.010416666666666666,6.018518518518518
42,steady_m05,regime_conditional,0.2,clean,transit_smooth,all,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,84,0.0,4.62962962962963
42,steady_m05,regime_conditional,0.2,clean,transit_smooth,stable,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,84,0.0,4.62962962962963
42,steady_m05,regime_conditional,0.2,clean,transit_rough,all,2160,0,0,22,0,2138,0.0,,0.0,0.010185185185185186,,,0,,0,0.029166666666666667,1.0,1.0,,,,90,0.022222222222222223,9.25925925925926
42,steady_m05,regime_conditional,0.2,clean,transit_rough,stable,2160,0,0,22,0,2138,0.0,,0.0,0.010185185185185186,,,0,,0,0.029166666666666667,1.0,1.0,,,,90,0.022222222222222223,9.25925925925926
42,steady_m05,regime_conditional,0.2,observed,all,all,6480,216,11,58,205,6206,0.15942028985507245,0.05092592592592592,0.07719298245614035,0.009259259259259259,0.08219017515144189,0.5462962962962963,216,0.009259259259259259,432,0.02726337448559671,1.0,1.0,0.3333333333333333,0.05092592592592592,0.05092592592592592,270,0.014814814814814815,7.0242656449553005
42,steady_m05,regime_conditional,0.2,observed,all,stable,6480,216,11,58,205,6206,0.15942028985507245,0.05092592592592592,0.07719298245614035,0.009259259259259259,0.08219017515144189,0.5462962962962963,216,0.009259259259259259,432,0.02726337448559671,1.0,1.0,0.3333333333333333,0.05092592592592592,0.05092592592592592,270,0.014814814814814815,7.0242656449553005
42,steady_m05,regime_conditional,0.2,observed,warehouse,all,2160,72,6,20,66,2068,0.23076923076923078,0.08333333333333333,0.12244897959183673,0.009578544061302681,0.10523743639800026,0.5555555555555556,72,0.020833333333333332,144,0.026234567901234566,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,96,0.0,6.704980842911877
42,steady_m05,regime_conditional,0.2,observed,warehouse,stable,2160,72,6,20,66,2068,0.23076923076923078,0.08333333333333333,0.12244897959183673,0.009578544061302681,0.10523743639800026,0.5555555555555556,72,0.020833333333333332,144,0.026234567901234566,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,96,0.0,6.704980842911877
42,steady_m05,regime_conditional,0.2,observed,transit_smooth,all,2160,72,0,12,72,2076,0.0,0.0,0.0,0.005747126436781609,0.051706955521394676,0.4722222222222222,72,0.0,144,0.018518518518518517,1.0,1.0,0.3333333333333333,0.0,0.0,84,0.0,4.789272030651341
42,steady_m05,regime_conditional,0.2,observed,transit_smooth,stable,2160,72,0,12,72,2076,0.0,0.0,0.0,0.005747126436781609,0.051706955521394676,0.4722222222222222,72,0.0,144,0.018518518518518517,1.0,1.0,0.3333333333333333,0.0,0.0,84,0.0,4.789272030651341
42,steady_m05,regime_conditional,0.2,observed,transit_rough,all,2160,72,5,26,67,2062,0.16129032258064516,0.06944444444444445,0.0970873786407767,0.012452107279693486,0.10239940170102033,0.6111111111111112,72,0.006944444444444444,144,0.037037037037037035,1.0,1.0,0.3333333333333333,0.06944444444444445,0.06944444444444445,90,0.044444444444444446,9.578544061302683
42,steady_m05,regime_conditional,0.2,observed,transit_rough,stable,2160,72,5,26,67,2062,0.16129032258064516,0.06944444444444445,0.0970873786407767,0.012452107279693486,0.10239940170102033,0.6111111111111112,72,0.006944444444444444,144,0.037037037037037035,1.0,1.0,0.3333333333333333,0.06944444444444445,0.06944444444444445,90,0.044444444444444446,9.578544061302683
42,steady_m1,regime_marginal,1.0,clean,all,all,6480,0,0,50,0,6430,0.0,,0.0,0.007716049382716049,,,0,,0,0.022685185185185187,1.0,1.0,,,,270,0.011111111111111112,7.407407407407407
42,steady_m1,regime_marginal,1.0,clean,all,stable,6480,0,0,50,0,6430,0.0,,0.0,0.007716049382716049,,,0,,0,0.022685185185185187,1.0,1.0,,,,270,0.011111111111111112,7.407407407407407
42,steady_m1,regime_marginal,1.0,clean,warehouse,all,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,,96,0.020833333333333332,9.722222222222221
