seed,method,regime,channel,threshold,n_calibration_cells,calibration_fpr
42,regime_marginal,transit_rough,0,1.7622478430365756,688,0.010174418604651164
42,regime_marginal,transit_rough,1,1.5182481549757165,688,0.010174418604651164
42,regime_marginal,transit_rough,2,1.471948455922854,688,0.010174418604651164
42,regime_marginal,transit_smooth,0,1.622030326695375,688,0.010174418604651164
42,regime_marginal,transit_smooth,1,1.2927613418389372,688,0.010174418604651164
42,regime_marginal,transit_smooth,2,1.4565518594184768,688,0.010174418604651164
42,regime_marginal,warehouse,0,1.5081619221270537,688,0.010174418604651164
42,regime_marginal,warehouse,1,1.346679443699344,688,0.010174418604651164
42,regime_marginal,warehouse,2,0.8761076510287176,688,0.010174418604651164
42,regime_conditional,transit_rough,0,1.2063495590312792,688,0.010174418604651164
42,regime_conditional,transit_rough,1,0.8954027538182027,688,0.010174418604651164
42,regime_conditional,transit_rough,2,0.9455513394446329,688,0.010174418604651164
42,regime_conditional,transit_smooth,0,1.0979642076216944,688,0.010174418604651164
42,regime_conditional,transit_smooth,1,0.875426564456731,688,0.010174418604651164
42,regime_conditional,transit_smooth,2,0.9648962056973686,688,0.010174418604651164
42,regime_conditional,warehouse,0,1.2004270576325786,688,0.010174418604651164
42,regime_conditional,warehouse,1,0.9510717149914525,688,0.010174418604651164
42,regime_conditional,warehouse,2,0.68343875386421,688,0.010174418604651164
43,regime_marginal,transit_rough,0,1.5123930523404634,688,0.010174418604651164
43,regime_marginal,transit_rough,1,1.2581966601385437,688,0.010174418604651164
43,regime_marginal,transit_rough,2,1.2928292846935183,688,0.010174418604651164
43,regime_marginal,transit_smooth,0,1.8384517502131361,688,0.010174418604651164
43,regime_marginal,transit_smooth,1,1.386311507633902,688,0.010174418604651164
43,regime_marginal,transit_smooth,2,1.2698390544439422,688,0.010174418604651164
43,regime_marginal,warehouse,0,1.4108509424307898,688,0.010174418604651164
43,regime_marginal,warehouse,1,1.1801831858944831,688,0.010174418604651164
43,regime_marginal,warehouse,2,0.9932633724891565,688,0.010174418604651164
43,regime_conditional,transit_rough,0,1.0002380247390883,688,0.010174418604651164
43,regime_conditional,transit_rough,1,0.9277475545425228,688,0.010174418604651164
43,regime_conditional,transit_rough,2,0.9992896606596047,688,0.010174418604651164
43,regime_conditional,transit_smooth,0,1.43157330050219,688,0.010174418604651164
43,regime_conditional,transit_smooth,1,0.9377649637858676,688,0.010174418604651164
43,regime_conditional,transit_smooth,2,0.8921853332493059,688,0.010174418604651164
43,regime_conditional,warehouse,0,1.174980898809045,688,0.010174418604651164
43,regime_conditional,warehouse,1,0.8008172536684741,688,0.010174418604651164
43,regime_conditional,warehouse,2,0.6850638829583847,688,0.010174418604651164
44,regime_marginal,transit_rough,0,1.5954326905313152,688,0.010174418604651164
