seed,scenario,method,view,regime,window,support,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,steady_k2,regime_conditional,clean,all,all,common,0.0,,0.0,,-0.00468346253229974,,,,,,0.0,-0.016791044776119403,-7.428940568475452,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,all,all,own,0.0,,0.0,,-0.004572207866781509,,,,,,-0.0444444444444444,-0.016639027086788282,-7.324863623313236,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,all,stable,common,0.0,,0.0,,-0.00468346253229974,,,,,,0.0,-0.016791044776119403,-7.428940568475452,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,all,stable,own,0.0,,0.0,,-0.004572207866781509,,,,,,-0.0444444444444444,-0.016639027086788282,-7.324863623313236,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_rough,all,common,0.0,,0.0,,-0.003875968992248062,,,,,,0.0,-0.011111111111111112,-7.267441860465116,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_rough,all,own,0.0,,0.0,,-0.0038006029285099045,,,,,,-0.0444444444444444,-0.011111111111111112,-7.192075796726959,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_rough,stable,common,0.0,,0.0,,-0.003875968992248062,,,,,,0.0,-0.011111111111111112,-7.267441860465116,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_rough,stable,own,0.0,,0.0,,-0.0038006029285099045,,,,,,-0.0444444444444444,-0.011111111111111112,-7.192075796726959,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_smooth,all,common,0.0,,0.0,,-0.0024224806201550396,,,,,,0.0,-0.011904761904761904,-3.875968992248062,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_smooth,all,own,0.0,,0.0,,-0.0024763135228251503,,,,,,-0.0444444444444444,-0.011904761904761904,-3.9298018949181746,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_smooth,stable,common,0.0,,0.0,,-0.0024224806201550396,,,,,,0.0,-0.011904761904761904,-3.875968992248062,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,transit_smooth,stable,own,0.0,,0.0,,-0.0024763135228251503,,,,,,-0.0444444444444444,-0.011904761904761904,-3.9298018949181746,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,warehouse,all,common,0.0,,0.0,,-0.007751937984496124,,,,,,0.0,-0.026595744680851064,-11.143410852713178,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_k2,regime_conditional,clean,warehouse,all,own,0.0,,0.0,,-0.007439707149009475,,,,,,-0.0444444444444444,-0.026041666666666668,-10.852713178294575,-0.0444444444444444,0.0,,0.0,,sma_minus_point
