seed,scenario,method,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,comparison
42,steady_k2,regime_conditional,clean,-0.125,-0.125,-0.020833333333333332,,0.4375,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_k2,regime_conditional,observed,-0.02083333333333337,-0.04166666666666674,0.04166666666666667,2.6228020419739084,2.0416666666666665,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_k2,regime_marginal,clean,0.041666666666666664,0.020833333333333332,0.020833333333333332,,-0.20833333333333393,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_k2,regime_marginal,observed,-0.27083333333333337,-0.3125,0.0625,3.11570827489481,3.0624999999999996,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m05,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,,0.25,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m05,regime_conditional,observed,0.08333333333333334,0.08333333333333334,-0.041666666666666664,-1.7333333333333334,-0.4999999999999991,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m05,regime_marginal,clean,0.041666666666666664,0.0,0.0,,0.0,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m05,regime_marginal,observed,-0.041666666666666664,-0.041666666666666664,0.0,-0.5,0.25,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m1,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,,0.25,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m1,regime_conditional,observed,0.12500000000000006,0.08333333333333331,0.0,1.72027972027972,-0.5,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m1,regime_marginal,clean,0.041666666666666664,0.0,0.0,,0.0,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m1,regime_marginal,observed,0.0,0.0,0.0,2.428571428571429,0.20833333333333304,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m2_r10_k1,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,,0.25,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m2_r10_k1,regime_conditional,observed,-0.04166666666666674,-0.08333333333333337,0.0,2.0455486542443064,1.9166666666666667,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m2_r10_k1,regime_marginal,clean,0.041666666666666664,0.0,0.0,,0.0,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m2_r10_k1,regime_marginal,observed,-0.29166666666666674,-0.33333333333333337,0.041666666666666664,2.8318840579710143,2.9583333333333335,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m4,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,,0.25,-0.06944444444444453,0.041666666666666664,sma_minus_point
