seed,scenario,method,temporal,view,regime,window,support,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,selected_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_m05,regime_marginal,point,clean,all,stable,common,6192,0,0,48,0,6144,0.0,,0.0,0.007751937984496124,,,0,,0,0.022771317829457363,1.0,1.0,,,,6480,1.0,0.9555555555555556,,0.0,,268,0.011194029850746268,7.428940568475452
42,steady_m05,regime_marginal,point,clean,warehouse,all,own,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,96,0.020833333333333332,9.722222222222221
42,steady_m05,regime_marginal,point,clean,warehouse,all,common,2064,0,0,23,0,2041,0.0,,0.0,0.011143410852713179,,,0,,0,0.03197674418604651,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,94,0.02127659574468085,10.174418604651162
42,steady_m05,regime_marginal,point,clean,warehouse,stable,own,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,96,0.020833333333333332,9.722222222222221
42,steady_m05,regime_marginal,point,clean,warehouse,stable,common,2064,0,0,23,0,2041,0.0,,0.0,0.011143410852713179,,,0,,0,0.03197674418604651,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,94,0.02127659574468085,10.174418604651162
42,steady_m05,regime_marginal,point,clean,transit_smooth,all,own,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,84,0.0,6.944444444444445
42,steady_m05,regime_marginal,point,clean,transit_smooth,all,common,2064,0,0,14,0,2050,0.0,,0.0,0.006782945736434108,,,0,,0,0.020348837209302327,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,84,0.0,6.782945736434108
42,steady_m05,regime_marginal,point,clean,transit_smooth,stable,own,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,84,0.0,6.944444444444445
42,steady_m05,regime_marginal,point,clean,transit_smooth,stable,common,2064,0,0,14,0,2050,0.0,,0.0,0.006782945736434108,,,0,,0,0.020348837209302327,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,84,0.0,6.782945736434108
42,steady_m05,regime_marginal,point,clean,transit_rough,all,own,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,90,0.011111111111111112,5.555555555555555
42,steady_m05,regime_marginal,point,clean,transit_rough,all,common,2064,0,0,11,0,2053,0.0,,0.0,0.005329457364341085,,,0,,0,0.015988372093023256,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,90,0.011111111111111112,5.329457364341085
42,steady_m05,regime_marginal,point,clean,transit_rough,stable,own,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,90,0.011111111111111112,5.555555555555555
