scenario,method,temporal,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count
steady_k2,regime_conditional,ewma,clean,0.05833333333333333,0.04007371679514864,5,0.05833333333333333,0.04007371679514864,5,0.004166666666666667,0.009316949906249122,5,5.079166666666667,1.560826881994142,4,8.633333333333333,0.28739430424264,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_conditional,ewma,observed,0.95,0.011410886614691014,5,0.9333333333333333,0.022821773229381878,5,0.04583333333333333,0.03726779962499649,5,2.4608133917537356,0.3784986382100424,5,2.7916666666666665,0.47186465220442203,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_conditional,point,clean,0.1,0.01743041721945991,5,0.1,0.01743041721945991,5,0.016666666666666666,0.01743041721945991,5,4.6,2.3119256043393785,5,8.55,0.11082863398558658,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_conditional,point,observed,0.875,0.046584749531245626,5,0.8708333333333333,0.049738901609638835,5,0.029166666666666664,0.01141088661469096,5,1.4619193855240367,0.533614529728129,5,2.341666666666667,0.2044428404224516,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_conditional,sma,clean,0.029166666666666664,0.018633899812498245,5,0.029166666666666664,0.018633899812498245,5,0.004166666666666667,0.009316949906249122,5,5.5,1.4719601443879744,4,8.816666666666666,0.1154324598099594,5,0.9388888888888889,0.03878955567713597,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_conditional,sma,observed,0.8958333333333334,0.025515518153991414,5,0.875,0.032940392293420655,5,0.04583333333333333,0.03423265984407289,5,3.767174422287865,0.4355359162598048,5,4.095833333333333,0.350037200403995,5,0.9388888888888889,0.03878955567713597,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_marginal,ewma,clean,0.029166666666666664,0.018633899812498248,5,0.020833333333333332,0.020833333333333332,5,0.0125,0.027950849718747374,5,5.0,1.8027756377319946,3,8.870833333333334,0.13928762208705633,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_marginal,ewma,observed,0.7625,0.03159531435021478,5,0.7458333333333333,0.017430417219459936,5,0.04166666666666667,0.04166666666666667,5,4.084847704847705,0.3978639469049871,5,4.9208333333333325,0.31263885803840114,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_marginal,point,clean,0.05,0.05229125165837972,5,0.05,0.05229125165837972,5,0.008333333333333333,0.01141088661469096,5,3.645833333333333,0.7465197027987048,4,8.729166666666666,0.2663898302613422,5,1.0,0.0,5,0.0,0.0,5
steady_k2,regime_marginal,point,observed,0.8166666666666667,0.08254838648399568,5,0.8166666666666667,0.08254838648399568,5,0.0125,0.01141088661469096,5,2.2134562920604113,0.5387831512133029,5,3.1791666666666663,0.592670802853958,5,1.0,0.0,5,0.0,0.0,5
