seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,event_channel_count
42,steady_k2,regime_conditional,ewma,clean,0.0,0.0,0.020833333333333332,,9.0,1.0,0.0,48
42,steady_k2,regime_conditional,ewma,observed,0.9375,0.8958333333333334,0.08333333333333333,3.0697674418604652,3.625,1.0,0.0,48
42,steady_k2,regime_conditional,point,clean,0.125,0.125,0.020833333333333332,7.5,8.5625,1.0,0.0,48
42,steady_k2,regime_conditional,point,observed,0.8958333333333334,0.8958333333333334,0.020833333333333332,1.7674418604651163,2.5833333333333335,1.0,0.0,48
42,steady_k2,regime_conditional,sma,clean,0.0,0.0,0.0,,9.0,0.9305555555555555,0.041666666666666664,48
42,steady_k2,regime_conditional,sma,observed,0.875,0.8541666666666666,0.0625,4.390243902439025,4.625,0.9305555555555555,0.041666666666666664,48
42,steady_k2,regime_marginal,ewma,clean,0.041666666666666664,0.0,0.0625,,9.0,1.0,0.0,48
42,steady_k2,regime_marginal,ewma,observed,0.8125,0.7708333333333334,0.10416666666666667,4.27027027027027,5.041666666666667,1.0,0.0,48
42,steady_k2,regime_marginal,point,clean,0.0,0.0,0.020833333333333332,,9.0,1.0,0.0,48
42,steady_k2,regime_marginal,point,observed,0.9583333333333334,0.9583333333333334,0.020833333333333332,2.239130434782609,2.5208333333333335,1.0,0.0,48
42,steady_k2,regime_marginal,sma,clean,0.041666666666666664,0.020833333333333332,0.041666666666666664,2.0,8.791666666666666,0.9305555555555555,0.041666666666666664,48
42,steady_k2,regime_marginal,sma,observed,0.6875,0.6458333333333334,0.08333333333333333,5.354838709677419,5.583333333333333,0.9305555555555555,0.041666666666666664,48
42,steady_m05,regime_conditional,ewma,clean,0.0,0.0,0.041666666666666664,,9.0,1.0,0.0,24
42,steady_m05,regime_conditional,ewma,observed,0.25,0.20833333333333334,0.041666666666666664,7.4,8.291666666666666,1.0,0.0,24
42,steady_m05,regime_conditional,point,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,9.0,8.75,1.0,0.0,24
42,steady_m05,regime_conditional,point,observed,0.125,0.125,0.041666666666666664,7.333333333333333,8.416666666666666,1.0,0.0,24
