scenario,method,view,comparison,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count
steady_k2,regime_conditional,clean,sma_minus_ewma,-0.029166666666666667,0.031595314350214794,5,-0.029166666666666667,0.031595314350214794,5,0.0,0.01473139127471974,5,0.42083333333333317,0.27398803704622676,4,0.18333333333333357,0.24268821447372407,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_conditional,clean,sma_minus_point,-0.07083333333333333,0.031595314350214794,5,-0.07083333333333333,0.031595314350214794,5,-0.012499999999999999,0.018633899812498248,5,1.625,0.4349329450233296,4,0.2666666666666668,0.15825107512360836,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_conditional,observed,sma_minus_ewma,-0.054166666666666675,0.02375365468956538,5,-0.05833333333333335,0.030900827029565224,5,1.3877787807814458e-18,0.01473139127471974,5,1.3063610305341298,0.39415292916834627,5,1.3041666666666667,0.2952164930653058,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_conditional,observed,sma_minus_point,0.02083333333333335,0.05311478659992484,5,0.004166666666666652,0.04750730937913075,5,0.01666666666666667,0.037267799624996496,5,2.3052550367638287,0.5915177408973544,5,1.7541666666666664,0.2340391111663935,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_marginal,clean,sma_minus_ewma,-0.008333333333333333,0.018633899812498245,5,-0.004166666666666667,0.02282177322938192,5,-0.0041666666666666675,0.009316949906249126,5,3.0,1.4142135623730951,2,0.037499999999999645,0.16029486718059455,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_marginal,clean,sma_minus_point,-0.029166666666666667,0.05432668671002207,5,-0.03333333333333334,0.04796193513842225,5,0.0,0.01473139127471974,5,5.083333333333334,4.1247895569215265,2,0.17916666666666678,0.28128857760116965,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_marginal,observed,sma_minus_ewma,-0.11249999999999998,0.054326686710022096,5,-0.12083333333333332,0.0518745816582864,5,-2.7755575615628915e-18,0.014731391274719742,5,1.0722738832416252,0.42042201759120795,5,0.8541666666666666,0.27083333333333354,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_k2,regime_marginal,observed,sma_minus_point,-0.16666666666666666,0.07216878364870323,5,-0.19166666666666668,0.08513673642376061,5,0.029166666666666664,0.031595314350214794,5,2.943665296028919,0.6379866291106632,5,2.595833333333333,0.479755073506842,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_conditional,clean,sma_minus_ewma,-0.041666666666666664,0.05892556509887897,5,-0.041666666666666664,0.05892556509887897,5,0.0,0.02946278254943948,5,0.25,0.3535533905932738,2,0.19166666666666643,0.25103950552320103,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_conditional,clean,sma_minus_point,-0.075,0.03486083443891981,5,-0.075,0.03486083443891981,5,-0.016666666666666666,0.02282177322938192,5,1.6666666666666667,0.47140452079103157,2,0.31666666666666643,0.24755751295854928,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
