seed,scenario,method,temporal,view,regime,window,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,selected_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_d12_n2_m1,regime_marginal,ewma,clean,transit_smooth,record_stable,2160,0,0,5,0,2155,0.0,,0.0,0.0023148148148148147,,,0,,0,0.006944444444444444,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,ewma,clean,transit_rough,all,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,0.46296296296296297
42,steady_d12_n2_m1,regime_marginal,ewma,clean,transit_rough,stable,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,0.46296296296296297
42,steady_d12_n2_m1,regime_marginal,ewma,clean,transit_rough,record_stable,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,0.46296296296296297
42,steady_d12_n2_m1,regime_marginal,cusum,clean,all,all,6480,0,0,144,0,6336,0.0,,0.0,0.022222222222222223,,,0,,0,0.04953703703703704,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.0,3.0864197530864197
42,steady_d12_n2_m1,regime_marginal,cusum,clean,all,stable,6480,0,0,144,0,6336,0.0,,0.0,0.022222222222222223,,,0,,0,0.04953703703703704,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.0,3.0864197530864197
42,steady_d12_n2_m1,regime_marginal,cusum,clean,all,record_stable,6480,0,0,144,0,6336,0.0,,0.0,0.022222222222222223,,,0,,0,0.04953703703703704,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.0,3.0864197530864197
42,steady_d12_n2_m1,regime_marginal,cusum,clean,warehouse,all,2160,0,0,133,0,2027,0.0,,0.0,0.06157407407407407,,,0,,0,0.13333333333333333,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,7.87037037037037
42,steady_d12_n2_m1,regime_marginal,cusum,clean,warehouse,stable,2160,0,0,133,0,2027,0.0,,0.0,0.06157407407407407,,,0,,0,0.13333333333333333,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,7.87037037037037
42,steady_d12_n2_m1,regime_marginal,cusum,clean,warehouse,record_stable,2160,0,0,133,0,2027,0.0,,0.0,0.06157407407407407,,,0,,0,0.13333333333333333,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,7.87037037037037
42,steady_d12_n2_m1,regime_marginal,cusum,clean,transit_smooth,all,2160,0,0,11,0,2149,0.0,,0.0,0.005092592592592593,,,0,,0,0.015277777777777777,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,cusum,clean,transit_smooth,stable,2160,0,0,11,0,2149,0.0,,0.0,0.005092592592592593,,,0,,0,0.015277777777777777,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,cusum,clean,transit_smooth,record_stable,2160,0,0,11,0,2149,0.0,,0.0,0.005092592592592593,,,0,,0,0.015277777777777777,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,cusum,clean,transit_rough,all,2160,0,0,0,0,2160,,,,0.0,,,0,,0,0.0,1.0,1.0,,,,2160,1.0,1.0,,,,96,0.0,0.0
42,steady_d12_n2_m1,regime_marginal,cusum,clean,transit_rough,stable,2160,0,0,0,0,2160,,,,0.0,,,0,,0,0.0,1.0,1.0,,,,2160,1.0,1.0,,,,96,0.0,0.0
42,steady_d12_n2_m1,regime_marginal,cusum,clean,transit_rough,record_stable,2160,0,0,0,0,2160,,,,0.0,,,0,,0,0.0,1.0,1.0,,,,2160,1.0,1.0,,,,96,0.0,0.0
42,steady_d12_n2_m1,regime_marginal,carry,clean,all,all,6480,0,0,59,0,6421,0.0,,0.0,0.009104938271604938,,,0,,0,0.02361111111111111,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.0,3.8580246913580245
42,steady_d12_n2_m1,regime_marginal,carry,clean,all,stable,6480,0,0,59,0,6421,0.0,,0.0,0.009104938271604938,,,0,,0,0.02361111111111111,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.0,3.8580246913580245
42,steady_d12_n2_m1,regime_marginal,carry,clean,all,record_stable,6480,0,0,59,0,6421,0.0,,0.0,0.009104938271604938,,,0,,0,0.02361111111111111,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.0,3.8580246913580245
42,steady_d12_n2_m1,regime_marginal,carry,clean,warehouse,all,2160,0,0,53,0,2107,0.0,,0.0,0.024537037037037038,,,0,,0,0.0625,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,9.722222222222221
42,steady_d12_n2_m1,regime_marginal,carry,clean,warehouse,stable,2160,0,0,53,0,2107,0.0,,0.0,0.024537037037037038,,,0,,0,0.0625,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,9.722222222222221
42,steady_d12_n2_m1,regime_marginal,carry,clean,warehouse,record_stable,2160,0,0,53,0,2107,0.0,,0.0,0.024537037037037038,,,0,,0,0.0625,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,9.722222222222221
42,steady_d12_n2_m1,regime_marginal,carry,clean,transit_smooth,all,2160,0,0,5,0,2155,0.0,,0.0,0.0023148148148148147,,,0,,0,0.006944444444444444,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,carry,clean,transit_smooth,stable,2160,0,0,5,0,2155,0.0,,0.0,0.0023148148148148147,,,0,,0,0.006944444444444444,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,carry,clean,transit_smooth,record_stable,2160,0,0,5,0,2155,0.0,,0.0,0.0023148148148148147,,,0,,0,0.006944444444444444,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,1.3888888888888888
42,steady_d12_n2_m1,regime_marginal,carry,clean,transit_rough,all,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,0.46296296296296297
42,steady_d12_n2_m1,regime_marginal,carry,clean,transit_rough,stable,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,0.46296296296296297
42,steady_d12_n2_m1,regime_marginal,carry,clean,transit_rough,record_stable,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,0.46296296296296297
42,steady_d12_n2_m1,regime_conditional,point,clean,all,all,6480,0,0,86,0,6394,0.0,,0.0,0.013271604938271606,,,0,,0,0.0375,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.013888888888888888,12.962962962962964
42,steady_d12_n2_m1,regime_conditional,point,clean,all,stable,6480,0,0,86,0,6394,0.0,,0.0,0.013271604938271606,,,0,,0,0.0375,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.013888888888888888,12.962962962962964
42,steady_d12_n2_m1,regime_conditional,point,clean,all,record_stable,6480,0,0,86,0,6394,0.0,,0.0,0.013271604938271606,,,0,,0,0.0375,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.013888888888888888,12.962962962962964
42,steady_d12_n2_m1,regime_conditional,point,clean,warehouse,all,2160,0,0,39,0,2121,0.0,,0.0,0.018055555555555554,,,0,,0,0.05138888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.03125,18.055555555555557
42,steady_d12_n2_m1,regime_conditional,point,clean,warehouse,stable,2160,0,0,39,0,2121,0.0,,0.0,0.018055555555555554,,,0,,0,0.05138888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.03125,18.055555555555557
42,steady_d12_n2_m1,regime_conditional,point,clean,warehouse,record_stable,2160,0,0,39,0,2121,0.0,,0.0,0.018055555555555554,,,0,,0,0.05138888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.03125,18.055555555555557
42,steady_d12_n2_m1,regime_conditional,point,clean,transit_smooth,all,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,11.11111111111111
42,steady_d12_n2_m1,regime_conditional,point,clean,transit_smooth,stable,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,11.11111111111111
42,steady_d12_n2_m1,regime_conditional,point,clean,transit_smooth,record_stable,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,11.11111111111111
42,steady_d12_n2_m1,regime_conditional,point,clean,transit_rough,all,2160,0,0,21,0,2139,0.0,,0.0,0.009722222222222222,,,0,,0,0.02638888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.010416666666666666,9.722222222222221
42,steady_d12_n2_m1,regime_conditional,point,clean,transit_rough,stable,2160,0,0,21,0,2139,0.0,,0.0,0.009722222222222222,,,0,,0,0.02638888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.010416666666666666,9.722222222222221
42,steady_d12_n2_m1,regime_conditional,point,clean,transit_rough,record_stable,2160,0,0,21,0,2139,0.0,,0.0,0.009722222222222222,,,0,,0,0.02638888888888889,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.010416666666666666,9.722222222222221
42,steady_d12_n2_m1,regime_conditional,ewma,clean,all,all,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.0375,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.003472222222222222,8.024691358024691
42,steady_d12_n2_m1,regime_conditional,ewma,clean,all,stable,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.0375,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.003472222222222222,8.024691358024691
42,steady_d12_n2_m1,regime_conditional,ewma,clean,all,record_stable,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.0375,1.0,1.0,,,,6480,1.0,1.0,,0.0,,288,0.003472222222222222,8.024691358024691
42,steady_d12_n2_m1,regime_conditional,ewma,clean,warehouse,all,2160,0,0,39,0,2121,0.0,,0.0,0.018055555555555554,,,0,,0,0.05416666666666667,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,8.796296296296296
42,steady_d12_n2_m1,regime_conditional,ewma,clean,warehouse,stable,2160,0,0,39,0,2121,0.0,,0.0,0.018055555555555554,,,0,,0,0.05416666666666667,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,8.796296296296296
42,steady_d12_n2_m1,regime_conditional,ewma,clean,warehouse,record_stable,2160,0,0,39,0,2121,0.0,,0.0,0.018055555555555554,,,0,,0,0.05416666666666667,1.0,1.0,,,,2160,1.0,1.0,,0.0,,96,0.0,8.796296296296296
