seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped,event_channel_count
42,count1,regime_conditional,carry,clean,0.25,0.25,0.0,7.333333333333333,10.833333333333334,1.0,0.0,0.9027777777777778,12
42,count1,regime_conditional,carry,observed,0.5833333333333334,0.5833333333333334,0.0,4.571428571428571,7.666666666666667,1.0,0.0,0.638888888888889,12
42,count1,regime_conditional,cusum,clean,0.08333333333333333,0.08333333333333333,0.0,8.0,11.666666666666666,1.0,0.0,0.9722222222222222,12
42,count1,regime_conditional,cusum,observed,0.5,0.5,0.0,6.0,9.0,1.0,0.0,0.75,12
42,count1,regime_conditional,ewma,clean,0.25,0.25,0.0,7.333333333333333,10.833333333333334,1.0,0.0,0.9027777777777778,12
42,count1,regime_conditional,ewma,observed,0.5833333333333334,0.5833333333333334,0.0,4.571428571428571,7.666666666666667,1.0,0.0,0.638888888888889,12
42,count1,regime_conditional,point,clean,0.25,0.25,0.0,5.666666666666667,10.416666666666666,1.0,0.0,0.8680555555555555,12
42,count1,regime_conditional,point,observed,0.5833333333333334,0.5833333333333334,0.0,6.857142857142857,9.0,1.0,0.0,0.75,12
42,count1,regime_marginal,carry,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,12
42,count1,regime_marginal,carry,observed,0.3333333333333333,0.3333333333333333,0.0,5.5,9.833333333333334,1.0,0.0,0.8194444444444445,12
42,count1,regime_marginal,cusum,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,12
42,count1,regime_marginal,cusum,observed,0.16666666666666666,0.16666666666666666,0.0,7.0,11.166666666666666,1.0,0.0,0.9305555555555555,12
42,count1,regime_marginal,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,12
42,count1,regime_marginal,ewma,observed,0.3333333333333333,0.3333333333333333,0.0,5.5,9.833333333333334,1.0,0.0,0.8194444444444445,12
42,count1,regime_marginal,point,clean,0.08333333333333333,0.08333333333333333,0.0,6.0,11.5,1.0,0.0,0.9583333333333334,12
42,count1,regime_marginal,point,observed,0.5,0.5,0.0,6.166666666666667,9.083333333333334,1.0,0.0,0.7569444444444443,12
42,count3,regime_conditional,carry,clean,0.19444444444444445,0.19444444444444445,0.0,6.714285714285714,10.972222222222221,1.0,0.0,0.9143518518518517,36
42,count3,regime_conditional,carry,observed,0.6944444444444444,0.6944444444444444,0.0,4.28,6.638888888888889,1.0,0.0,0.5532407407407408,36
42,count3,regime_conditional,cusum,clean,0.05555555555555555,0.05555555555555555,0.0,8.0,11.777777777777779,1.0,0.0,0.9814814814814815,36
42,count3,regime_conditional,cusum,observed,0.5,0.5,0.0,5.944444444444445,8.972222222222221,1.0,0.0,0.7476851851851852,36
42,count3,regime_conditional,ewma,clean,0.19444444444444445,0.19444444444444445,0.0,6.714285714285714,10.972222222222221,1.0,0.0,0.9143518518518517,36
42,count3,regime_conditional,ewma,observed,0.6944444444444444,0.6944444444444444,0.0,4.28,6.638888888888889,1.0,0.0,0.5532407407407408,36
42,count3,regime_conditional,point,clean,0.2777777777777778,0.2777777777777778,0.0,4.2,9.833333333333334,1.0,0.0,0.8194444444444444,36
42,count3,regime_conditional,point,observed,0.6388888888888888,0.6388888888888888,0.0,4.434782608695652,7.166666666666667,1.0,0.0,0.5972222222222222,36
42,count3,regime_marginal,carry,clean,0.08333333333333333,0.08333333333333333,0.0,6.666666666666667,11.555555555555555,1.0,0.0,0.9629629629629629,36
42,count3,regime_marginal,carry,observed,0.3611111111111111,0.3611111111111111,0.0,5.6923076923076925,9.722222222222221,1.0,0.0,0.8101851851851852,36
42,count3,regime_marginal,cusum,clean,0.05555555555555555,0.027777777777777776,0.027777777777777776,7.0,11.86111111111111,1.0,0.0,0.988425925925926,36
42,count3,regime_marginal,cusum,observed,0.19444444444444445,0.16666666666666666,0.027777777777777776,7.166666666666667,11.194444444444445,1.0,0.0,0.9328703703703705,36
42,count3,regime_marginal,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,6.666666666666667,11.555555555555555,1.0,0.0,0.9629629629629629,36
42,count3,regime_marginal,ewma,observed,0.3611111111111111,0.3611111111111111,0.0,5.6923076923076925,9.722222222222221,1.0,0.0,0.8101851851851852,36
42,count3,regime_marginal,point,clean,0.05555555555555555,0.05555555555555555,0.0,3.5,11.527777777777779,1.0,0.0,0.9606481481481483,36
42,count3,regime_marginal,point,observed,0.4722222222222222,0.4722222222222222,0.0,4.705882352941177,8.555555555555555,1.0,0.0,0.712962962962963,36
42,duration24,regime_conditional,carry,clean,0.25,0.25,0.0,8.166666666666666,20.041666666666668,1.0,0.0,0.8350694444444445,24
42,duration24,regime_conditional,carry,observed,0.9166666666666666,0.9166666666666666,0.0,6.090909090909091,7.583333333333333,1.0,0.0,0.3159722222222222,24
42,duration24,regime_conditional,cusum,clean,0.041666666666666664,0.041666666666666664,0.0,8.0,23.333333333333332,1.0,0.0,0.9722222222222222,24
