seed,scenario,method,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped,comparison
42,switch_delay12,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
42,switch_delay12,regime_marginal,observed,0.0,-0.041666666666666685,0.0,-0.05555555555555536,0.25,0.0,0.0,0.02083333333333337,carry_minus_ewma
42,switch_random,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
42,switch_random,regime_conditional,observed,0.04166666666666674,0.04166666666666674,0.0,-0.20220588235294112,-0.45833333333333304,0.0,0.0,-0.03819444444444442,carry_minus_ewma
42,switch_random,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
42,switch_random,regime_marginal,observed,0.04166666666666663,0.04166666666666663,0.0,-0.581818181818182,-0.5,0.0,0.0,-0.04166666666666663,carry_minus_ewma
43,count1,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count1,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count1,regime_marginal,clean,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count1,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count3,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count3,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count3,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,count3,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration24,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration24,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration24,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration24,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration4,regime_conditional,clean,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration4,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration4,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,duration4,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude2,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude2,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude2,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude2,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude4,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude4,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
