seed,method,regime,channel,threshold,calibration_fpr,n_calibration_cells,reset_carry_exact
42,regime_marginal,transit_rough,0,1.7946240205079884,0.011111111111111112,720,True
42,regime_marginal,transit_rough,1,1.4334447493125462,0.011111111111111112,720,True
42,regime_marginal,transit_rough,2,1.3418602578482695,0.011111111111111112,720,True
42,regime_marginal,transit_smooth,0,1.6515943476405277,0.011111111111111112,720,True
42,regime_marginal,transit_smooth,1,1.3167229163620182,0.011111111111111112,720,True
42,regime_marginal,transit_smooth,2,1.3683927439197747,0.011111111111111112,720,True
42,regime_marginal,warehouse,0,1.490647989628508,0.011111111111111112,720,True
42,regime_marginal,warehouse,1,1.1949385861936999,0.011111111111111112,720,True
42,regime_marginal,warehouse,2,0.8360990010089345,0.011111111111111112,720,True
42,regime_conditional,transit_rough,0,1.2527698285518845,0.011111111111111112,720,True
42,regime_conditional,transit_rough,1,0.8970532194803071,0.011111111111111112,720,True
42,regime_conditional,transit_rough,2,0.8814946973266695,0.011111111111111112,720,True
42,regime_conditional,transit_smooth,0,1.1761791376580455,0.011111111111111112,720,True
42,regime_conditional,transit_smooth,1,0.860399242674857,0.011111111111111112,720,True
42,regime_conditional,transit_smooth,2,0.9206520202410018,0.011111111111111112,720,True
42,regime_conditional,warehouse,0,1.1641345728833878,0.011111111111111112,720,True
42,regime_conditional,warehouse,1,0.9755805654710474,0.011111111111111112,720,True
42,regime_conditional,warehouse,2,0.6887063615055562,0.011111111111111112,720,True
43,regime_marginal,transit_rough,0,1.3572417963087262,0.011111111111111112,720,True
43,regime_marginal,transit_rough,1,1.262772673886911,0.011111111111111112,720,True
43,regime_marginal,transit_rough,2,1.1402809093269115,0.011111111111111112,720,True
43,regime_marginal,transit_smooth,0,1.7576826233326972,0.011111111111111112,720,True
43,regime_marginal,transit_smooth,1,1.2945811233652844,0.011111111111111112,720,True
43,regime_marginal,transit_smooth,2,1.1916845964660332,0.011111111111111112,720,True
43,regime_marginal,warehouse,0,1.3548560686773632,0.011111111111111112,720,True
43,regime_marginal,warehouse,1,1.143781338797645,0.011111111111111112,720,True
43,regime_marginal,warehouse,2,0.9319021341648575,0.011111111111111112,720,True
43,regime_conditional,transit_rough,0,0.9666967433757844,0.011111111111111112,720,True
43,regime_conditional,transit_rough,1,0.9311742244312711,0.011111111111111112,720,True
43,regime_conditional,transit_rough,2,0.974617171601991,0.011111111111111112,720,True
43,regime_conditional,transit_smooth,0,1.3158651965169257,0.011111111111111112,720,True
43,regime_conditional,transit_smooth,1,0.8986902112852968,0.011111111111111112,720,True
43,regime_conditional,transit_smooth,2,0.8271926535486248,0.011111111111111112,720,True
43,regime_conditional,warehouse,0,1.0961200034386687,0.011111111111111112,720,True
43,regime_conditional,warehouse,1,0.7810518356040426,0.011111111111111112,720,True
43,regime_conditional,warehouse,2,0.700720562269717,0.011111111111111112,720,True
44,regime_marginal,transit_rough,0,1.5259372507809852,0.011111111111111112,720,True
44,regime_marginal,transit_rough,1,1.261926561238145,0.011111111111111112,720,True
44,regime_marginal,transit_rough,2,1.2587975370020252,0.011111111111111112,720,True
44,regime_marginal,transit_smooth,0,1.8266812296987178,0.011111111111111112,720,True
44,regime_marginal,transit_smooth,1,1.6188968275918574,0.011111111111111112,720,True
44,regime_marginal,transit_smooth,2,1.5113605927935105,0.011111111111111112,720,True
44,regime_marginal,warehouse,0,1.5848815271959429,0.011111111111111112,720,True
44,regime_marginal,warehouse,1,1.2342359542821808,0.011111111111111112,720,True
44,regime_marginal,warehouse,2,1.0178884178654066,0.011111111111111112,720,True
44,regime_conditional,transit_rough,0,1.1241379577179047,0.011111111111111112,720,True
44,regime_conditional,transit_rough,1,0.9272159691426122,0.011111111111111112,720,True
44,regime_conditional,transit_rough,2,0.9326092165340923,0.011111111111111112,720,True
44,regime_conditional,transit_smooth,0,1.0868519811748665,0.011111111111111112,720,True
44,regime_conditional,transit_smooth,1,0.8901844805363722,0.011111111111111112,720,True
44,regime_conditional,transit_smooth,2,0.8946262083216165,0.011111111111111112,720,True
44,regime_conditional,warehouse,0,1.3095833790868532,0.011111111111111112,720,True
44,regime_conditional,warehouse,1,0.9008689939457615,0.011111111111111112,720,True
44,regime_conditional,warehouse,2,0.7446990535080958,0.011111111111111112,720,True
45,regime_marginal,transit_rough,0,1.4063561042608248,0.011111111111111112,720,True
45,regime_marginal,transit_rough,1,1.1829521373810652,0.011111111111111112,720,True
45,regime_marginal,transit_rough,2,1.0371895826339177,0.011111111111111112,720,True
45,regime_marginal,transit_smooth,0,1.4871580669134672,0.011111111111111112,720,True
45,regime_marginal,transit_smooth,1,1.192445682960207,0.011111111111111112,720,True
45,regime_marginal,transit_smooth,2,1.3661024595142137,0.011111111111111112,720,True
45,regime_marginal,warehouse,0,1.5442698228320766,0.011111111111111112,720,True
45,regime_marginal,warehouse,1,1.4581349448527858,0.011111111111111112,720,True
45,regime_marginal,warehouse,2,0.909966518343375,0.011111111111111112,720,True
45,regime_conditional,transit_rough,0,1.1722625785483793,0.011111111111111112,720,True
45,regime_conditional,transit_rough,1,0.9932768981406593,0.011111111111111112,720,True
45,regime_conditional,transit_rough,2,0.818447391027492,0.011111111111111112,720,True
45,regime_conditional,transit_smooth,0,1.2202730468924239,0.011111111111111112,720,True
45,regime_conditional,transit_smooth,1,0.8886128544878867,0.011111111111111112,720,True
45,regime_conditional,transit_smooth,2,1.0079293514480414,0.011111111111111112,720,True
45,regime_conditional,warehouse,0,1.1663473155993744,0.011111111111111112,720,True
45,regime_conditional,warehouse,1,0.886622335090438,0.011111111111111112,720,True
45,regime_conditional,warehouse,2,0.733345780949951,0.011111111111111112,720,True
46,regime_marginal,transit_rough,0,1.8171282086739842,0.011111111111111112,720,True
46,regime_marginal,transit_rough,1,1.1667555497884459,0.011111111111111112,720,True
46,regime_marginal,transit_rough,2,1.2401941613305691,0.011111111111111112,720,True
46,regime_marginal,transit_smooth,0,1.6959050740338635,0.011111111111111112,720,True
46,regime_marginal,transit_smooth,1,1.4663846345093454,0.011111111111111112,720,True
46,regime_marginal,transit_smooth,2,1.4110673995676188,0.011111111111111112,720,True
46,regime_marginal,warehouse,0,1.2649193856678058,0.011111111111111112,720,True
46,regime_marginal,warehouse,1,1.2323328358735708,0.011111111111111112,720,True
46,regime_marginal,warehouse,2,0.9825038109558454,0.011111111111111112,720,True
46,regime_conditional,transit_rough,0,1.3686580062962874,0.011111111111111112,720,True
46,regime_conditional,transit_rough,1,0.7719629664710803,0.011111111111111112,720,True
46,regime_conditional,transit_rough,2,0.9461115709107557,0.011111111111111112,720,True
46,regime_conditional,transit_smooth,0,1.2637479627685058,0.011111111111111112,720,True
46,regime_conditional,transit_smooth,1,0.9140865887077217,0.011111111111111112,720,True
46,regime_conditional,transit_smooth,2,0.9671055788750499,0.011111111111111112,720,True
46,regime_conditional,warehouse,0,1.0611649267297987,0.011111111111111112,720,True
46,regime_conditional,warehouse,1,0.9332853051134763,0.011111111111111112,720,True
46,regime_conditional,warehouse,2,0.7340300630786053,0.011111111111111112,720,True
