scenario,method,temporal,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
count1,regime_conditional,carry,observed,all,all,0.3283644865935883,0.040421828067820784,5,0.3416666666666667,0.05585854875608391,5,0.31976576700989023,0.03992477454052348,5,0.27217596982291703,0.048707120425622454,5,0.01669823232323232,0.0036444324235786873,5,0.04861111111111111,0.029360302995291254,5,0.6625,0.05481274239075307,5,0.3333333333333333,0.0,5,0.3416666666666667,0.05585854875608391,5,0.3166666666666667,0.061645391725478185,5,1.0,0.0,5,0.11527777777777777,0.05022134647712373,5,7.638888888888888,1.734675715155819,5,1.0,0.0,5,1.0,0.0,5,0.3416666666666667,0.05585854875608391,5,0.3283644865935883,0.040421828067820784,5,0.0,0.0,5
count1,regime_conditional,carry,observed,all,record_stable,0.3283644865935883,0.040421828067820784,5,0.3416666666666667,0.05585854875608391,5,0.31976576700989023,0.03992477454052348,5,0.27217596982291703,0.048707120425622454,5,0.01669823232323232,0.0036444324235786873,5,0.04861111111111111,0.029360302995291254,5,0.6625,0.05481274239075307,5,0.3333333333333333,0.0,5,0.3416666666666667,0.05585854875608391,5,0.3166666666666667,0.061645391725478185,5,1.0,0.0,5,0.11527777777777777,0.05022134647712373,5,7.638888888888888,1.734675715155819,5,1.0,0.0,5,1.0,0.0,5,0.3416666666666667,0.05585854875608391,5,0.3283644865935883,0.040421828067820784,5,0.0,0.0,5
count1,regime_conditional,carry,observed,all,stable,0.3283644865935883,0.040421828067820784,5,0.3416666666666667,0.05585854875608391,5,0.31976576700989023,0.03992477454052348,5,0.27217596982291703,0.048707120425622454,5,0.01669823232323232,0.0036444324235786873,5,0.04861111111111111,0.029360302995291254,5,0.6625,0.05481274239075307,5,0.3333333333333333,0.0,5,0.3416666666666667,0.05585854875608391,5,0.3166666666666667,0.061645391725478185,5,1.0,0.0,5,0.11527777777777777,0.05022134647712373,5,7.638888888888888,1.734675715155819,5,1.0,0.0,5,1.0,0.0,5,0.3416666666666667,0.05585854875608391,5,0.3283644865935883,0.040421828067820784,5,0.0,0.0,5
count1,regime_conditional,carry,observed,transit_rough,all,0.3370665394650444,0.14844713409955618,5,0.31666666666666665,0.11160912696649061,5,0.37002067350947027,0.199269622215421,5,0.2902225515333426,0.16857067206797302,5,0.014204545454545452,0.007486452793959231,5,0.035416666666666666,0.046351240544347895,5,0.675,0.16043019423482047,5,0.3333333333333333,0.0,5,0.31666666666666665,0.11160912696649061,5,0.3,0.11467799120435739,5,1.0,0.0,5,0.09583333333333333,0.10056265321789308,5,6.43939393939394,2.2855148458612065,5,1.0,0.0,5,1.0,0.0,5,0.31666666666666665,0.11160912696649061,5,0.3370665394650444,0.14844713409955618,5,0.0,0.0,5
count1,regime_conditional,carry,observed,transit_rough,record_stable,0.3370665394650444,0.14844713409955618,5,0.31666666666666665,0.11160912696649061,5,0.37002067350947027,0.199269622215421,5,0.2902225515333426,0.16857067206797302,5,0.014204545454545452,0.007486452793959231,5,0.035416666666666666,0.046351240544347895,5,0.675,0.16043019423482047,5,0.3333333333333333,0.0,5,0.31666666666666665,0.11160912696649061,5,0.3,0.11467799120435739,5,1.0,0.0,5,0.09583333333333333,0.10056265321789308,5,6.43939393939394,2.2855148458612065,5,1.0,0.0,5,1.0,0.0,5,0.31666666666666665,0.11160912696649061,5,0.3370665394650444,0.14844713409955618,5,0.0,0.0,5
count1,regime_conditional,carry,observed,transit_rough,stable,0.3370665394650444,0.14844713409955618,5,0.31666666666666665,0.11160912696649061,5,0.37002067350947027,0.199269622215421,5,0.2902225515333426,0.16857067206797302,5,0.014204545454545452,0.007486452793959231,5,0.035416666666666666,0.046351240544347895,5,0.675,0.16043019423482047,5,0.3333333333333333,0.0,5,0.31666666666666665,0.11160912696649061,5,0.3,0.11467799120435739,5,1.0,0.0,5,0.09583333333333333,0.10056265321789308,5,6.43939393939394,2.2855148458612065,5,1.0,0.0,5,1.0,0.0,5,0.31666666666666665,0.11160912696649061,5,0.3370665394650444,0.14844713409955618,5,0.0,0.0,5
count1,regime_conditional,carry,observed,transit_smooth,all,0.39480064846765517,0.10486975691716502,5,0.425,0.13866301076911447,5,0.37476498998973884,0.09277100176308362,5,0.348712303148254,0.14573320313662783,5,0.01628787878787879,0.004411293446534892,5,0.03333333333333334,0.03407380673707526,5,0.7041666666666667,0.11257713405088582,5,0.3333333333333333,0.0,5,0.425,0.13866301076911447,5,0.39583333333333337,0.14508737788733456,5,1.0,0.0,5,0.15,0.06653633092779712,5,8.333333333333332,3.840776475506297,5,1.0,0.0,5,1.0,0.0,5,0.425,0.13866301076911447,5,0.39480064846765517,0.10486975691716502,5,0.0,0.0,5
count1,regime_conditional,carry,observed,transit_smooth,record_stable,0.39480064846765517,0.10486975691716502,5,0.425,0.13866301076911447,5,0.37476498998973884,0.09277100176308362,5,0.348712303148254,0.14573320313662783,5,0.01628787878787879,0.004411293446534892,5,0.03333333333333334,0.03407380673707526,5,0.7041666666666667,0.11257713405088582,5,0.3333333333333333,0.0,5,0.425,0.13866301076911447,5,0.39583333333333337,0.14508737788733456,5,1.0,0.0,5,0.15,0.06653633092779712,5,8.333333333333332,3.840776475506297,5,1.0,0.0,5,1.0,0.0,5,0.425,0.13866301076911447,5,0.39480064846765517,0.10486975691716502,5,0.0,0.0,5
count1,regime_conditional,carry,observed,transit_smooth,stable,0.39480064846765517,0.10486975691716502,5,0.425,0.13866301076911447,5,0.37476498998973884,0.09277100176308362,5,0.348712303148254,0.14573320313662783,5,0.01628787878787879,0.004411293446534892,5,0.03333333333333334,0.03407380673707526,5,0.7041666666666667,0.11257713405088582,5,0.3333333333333333,0.0,5,0.425,0.13866301076911447,5,0.39583333333333337,0.14508737788733456,5,1.0,0.0,5,0.15,0.06653633092779712,5,8.333333333333332,3.840776475506297,5,1.0,0.0,5,1.0,0.0,5,0.425,0.13866301076911447,5,0.39480064846765517,0.10486975691716502,5,0.0,0.0,5
count1,regime_conditional,carry,observed,warehouse,all,0.26898831112276994,0.16385694746962118,5,0.2833333333333333,0.15907174307350894,5,0.2618809749019121,0.17538613877873832,5,0.24111559399827964,0.1631936401179479,5,0.01960227272727273,0.007905921009371895,5,0.07708333333333332,0.054922609693600286,5,0.6083333333333333,0.15825107512360786,5,0.3333333333333333,0.0,5,0.2833333333333333,0.15907174307350894,5,0.25416666666666665,0.18481879263514064,5,1.0,0.0,5,0.1,0.08254838648399562,5,8.143939393939394,3.420907550793266,5,1.0,0.0,5,1.0,0.0,5,0.2833333333333333,0.15907174307350894,5,0.26898831112276994,0.16385694746962118,5,0.0,0.0,5
