scenario,method,temporal,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
count1,regime_conditional,cusum,clean,0.05,0.04564354645876384,5,0.03333333333333333,0.04564354645876384,5,0.03333333333333333,0.04564354645876384,5,7.5,0.7071067811865476,2,11.85,0.2074983266331456,5,1.0,0.0,5,0.0,0.0,5,0.9875,0.017291527219428785,5
count1,regime_conditional,cusum,observed,0.6,0.09128709291752768,5,0.5833333333333333,0.08333333333333331,5,0.03333333333333333,0.04564354645876384,5,6.197619047619048,0.9458706052172565,5,8.583333333333334,0.8779711460710619,5,1.0,0.0,5,0.0,0.0,5,0.7152777777777779,0.07316426217258849,5
count1,regime_conditional,ewma,clean,0.1,0.09128709291752769,5,0.1,0.09128709291752769,5,0.0,0.0,5,5.583333333333333,3.919325338768282,4,11.416666666666668,0.49300664859163396,5,1.0,0.0,5,0.0,0.0,5,0.951388888888889,0.041083887382636235,5
count1,regime_conditional,ewma,observed,0.7333333333333334,0.10865337342004418,5,0.7333333333333334,0.10865337342004418,5,0.0,0.0,5,5.021507936507936,0.9153624164720462,5,6.916666666666667,0.8057949835755714,5,1.0,0.0,5,0.0,0.0,5,0.576388888888889,0.06714958196463096,5
count1,regime_conditional,point,clean,0.16666666666666666,0.10206207261596575,5,0.16666666666666666,0.10206207261596575,5,0.0,0.0,5,7.583333333333334,2.6158349704430113,4,11.266666666666666,0.6384660436459318,5,1.0,0.0,5,0.0,0.0,5,0.9388888888888889,0.05320550363716101,5
count1,regime_conditional,point,observed,0.6166666666666667,0.1394433377556793,5,0.6166666666666667,0.1394433377556793,5,0.0,0.0,5,4.633095238095239,1.6006819868822322,5,7.55,0.9063816954119153,5,1.0,0.0,5,0.0,0.0,5,0.6291666666666667,0.07553180795099293,5
count1,regime_marginal,cusum,clean,0.05,0.04564354645876384,5,0.03333333333333333,0.04564354645876384,5,0.016666666666666666,0.03726779962499649,5,5.5,2.1213203435596424,2,11.783333333333335,0.3095695936834445,5,1.0,0.0,5,0.0,0.0,5,0.9819444444444445,0.025797466140287058,5
count1,regime_marginal,cusum,observed,0.18333333333333332,0.10865337342004415,5,0.16666666666666666,0.13176156917368248,5,0.016666666666666666,0.03726779962499649,5,7.5,2.0816659994661326,4,11.35,0.4873397172404484,5,1.0,0.0,5,0.0,0.0,5,0.9458333333333332,0.04061164310337072,5
count1,regime_marginal,ewma,clean,0.03333333333333333,0.04564354645876384,5,0.03333333333333333,0.04564354645876384,5,0.0,0.0,5,7.0,0.0,2,11.833333333333334,0.22821773229381864,5,1.0,0.0,5,0.0,0.0,5,0.986111111111111,0.019018144357818283,5
count1,regime_marginal,ewma,observed,0.4,0.06972166887783963,5,0.4,0.06972166887783963,5,0.0,0.0,5,6.32,0.5805170109479996,5,9.75,0.2946278254943946,5,1.0,0.0,5,0.0,0.0,5,0.8125,0.024552318791199592,5
count1,regime_marginal,point,clean,0.1,0.09128709291752769,5,0.1,0.09128709291752769,5,0.0,0.0,5,5.583333333333333,3.1666666666666665,4,11.416666666666668,0.46398036356916794,5,1.0,0.0,5,0.0,0.0,5,0.951388888888889,0.0386650302974307,5
