seed,scenario,method,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped,comparison
42,count1,regime_conditional,clean,-0.16666666666666669,-0.16666666666666669,0.0,2.333333333333333,1.25,0.0,0.0,0.10416666666666674,cusum_minus_point
42,count1,regime_conditional,observed,-0.08333333333333337,-0.08333333333333337,0.0,-0.8571428571428568,0.0,0.0,0.0,0.0,cusum_minus_point
42,count1,regime_marginal,clean,0.0,0.0,0.0,1.0,0.08333333333333393,0.0,0.0,0.00694444444444442,cusum_minus_point
42,count1,regime_marginal,observed,-0.33333333333333337,-0.33333333333333337,0.0,0.833333333333333,2.083333333333332,0.0,0.0,0.17361111111111116,cusum_minus_point
42,count3,regime_conditional,clean,-0.22222222222222224,-0.22222222222222224,0.0,3.8,1.9444444444444446,0.0,0.0,0.1620370370370371,cusum_minus_point
42,count3,regime_conditional,observed,-0.13888888888888884,-0.13888888888888884,0.0,1.5096618357487923,1.8055555555555545,0.0,0.0,0.15046296296296302,cusum_minus_point
42,count3,regime_marginal,clean,0.0,-0.027777777777777776,0.027777777777777776,3.5,0.33333333333333215,0.0,0.0,0.02777777777777779,cusum_minus_point
42,count3,regime_marginal,observed,-0.2777777777777778,-0.3055555555555556,0.027777777777777776,2.4607843137254903,2.6388888888888893,0.0,0.0,0.21990740740740744,cusum_minus_point
42,duration24,regime_conditional,clean,-0.25,-0.25,0.0,-2.0,3.4166666666666643,0.0,0.0,0.14236111111111105,cusum_minus_point
42,duration24,regime_conditional,observed,0.04166666666666663,0.04166666666666663,0.0,1.528138528138527,0.7083333333333321,0.0,0.0,0.02951388888888884,cusum_minus_point
42,duration24,regime_marginal,clean,-0.08333333333333334,-0.08333333333333334,0.0,-4.333333333333334,0.875,0.0,0.0,0.03645833333333337,cusum_minus_point
42,duration24,regime_marginal,observed,-0.20833333333333337,-0.20833333333333337,0.0,6.316239316239316,6.916666666666666,0.0,0.0,0.2881944444444444,cusum_minus_point
42,duration4,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,0.0,,0.16666666666666652,0.0,0.0,0.04166666666666663,cusum_minus_point
42,duration4,regime_conditional,observed,-0.20833333333333337,-0.20833333333333337,0.0,0.2857142857142858,0.5,0.0,0.0,0.125,cusum_minus_point
42,duration4,regime_marginal,clean,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,cusum_minus_point
42,duration4,regime_marginal,observed,-0.16666666666666669,-0.16666666666666669,0.0,0.3999999999999999,0.4166666666666665,0.0,0.0,0.10416666666666663,cusum_minus_point
42,magnitude2,regime_conditional,clean,-0.125,-0.125,0.0,3.5,1.083333333333334,0.0,0.0,0.09027777777777779,cusum_minus_point
42,magnitude2,regime_conditional,observed,-0.04166666666666663,-0.04166666666666663,0.0,1.1431159420289858,1.5,0.0,0.0,0.125,cusum_minus_point
42,magnitude2,regime_marginal,clean,0.0,0.0,0.0,1.0,0.041666666666666075,0.0,0.0,0.00347222222222221,cusum_minus_point
42,magnitude2,regime_marginal,observed,-0.125,-0.125,0.0,4.243478260869566,4.666666666666666,0.0,0.0,0.38888888888888884,cusum_minus_point
42,magnitude4,regime_conditional,clean,-0.125,-0.125,0.0,3.5,1.083333333333334,0.0,0.0,0.09027777777777779,cusum_minus_point
42,magnitude4,regime_conditional,observed,0.0,-0.08333333333333337,0.08333333333333333,1.4545454545454546,2.3333333333333335,0.0,0.0,0.19444444444444445,cusum_minus_point
42,magnitude4,regime_marginal,clean,0.0,0.0,0.0,1.0,0.041666666666666075,0.0,0.0,0.00347222222222221,cusum_minus_point
42,magnitude4,regime_marginal,observed,0.0,-0.08333333333333337,0.08333333333333333,3.772727272727273,4.458333333333333,0.0,0.0,0.37152777777777773,cusum_minus_point
42,steady_d12_n2_m1,regime_conditional,clean,-0.125,-0.125,0.0,3.5,1.083333333333334,0.0,0.0,0.09027777777777779,cusum_minus_point
42,steady_d12_n2_m1,regime_conditional,observed,-0.08333333333333326,-0.08333333333333326,0.0,1.1785714285714288,1.291666666666667,0.0,0.0,0.10763888888888895,cusum_minus_point
42,steady_d12_n2_m1,regime_marginal,clean,0.0,0.0,0.0,1.0,0.041666666666666075,0.0,0.0,0.00347222222222221,cusum_minus_point
42,steady_d12_n2_m1,regime_marginal,observed,-0.375,-0.375,0.0,1.7307692307692308,3.0,0.0,0.0,0.25,cusum_minus_point
42,switch_after6,regime_conditional,clean,-0.08333333333333334,-0.08333333333333334,0.0,1.0,0.5416666666666661,0.0,0.0,0.04513888888888884,cusum_minus_point
42,switch_after6,regime_conditional,observed,0.08333333333333337,0.08333333333333337,0.0,2.4051282051282046,0.7083333333333339,0.0,0.0,0.05902777777777779,cusum_minus_point
42,switch_after6,regime_marginal,clean,-0.08333333333333333,-0.08333333333333333,0.0,,0.7083333333333339,0.0,0.0,0.05902777777777779,cusum_minus_point
42,switch_after6,regime_marginal,observed,-0.04166666666666663,-0.04166666666666663,0.0,3.0178571428571432,1.25,0.0,0.0,0.10416666666666663,cusum_minus_point
42,switch_at,regime_conditional,clean,-0.125,-0.125,-0.041666666666666664,,0.4583333333333339,0.0,0.0,0.03819444444444453,cusum_minus_point
42,switch_at,regime_conditional,observed,-0.20833333333333326,-0.20833333333333326,-0.041666666666666664,1.977443609022557,2.666666666666666,0.0,0.0,0.2222222222222221,cusum_minus_point
