method,temporal,view,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
regime_conditional,cusum,clean,count1_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0034722222222222225,0.01493459247750456,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,count3_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.00486111111111111,0.00980044589352618,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,duration24_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.008333333333333335,0.0240060916908939,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,duration4_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.004166666666666666,0.0051501378382608765,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,magnitude2_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,magnitude4_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,switch_after6_minus_switch_at,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0006944444444444444,0.00667895279919144,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,switch_at_minus_switch_random,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.009722222222222222,0.024478551016686896,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,switch_before6_minus_switch_at,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.002777777777777778,0.004527223892501839,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,switch_delay12_minus_switch_random,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.07756172839506173,0.0053676202693173115,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.06388888888888888,0.05275035837453595,5,8.024691358024691,0.8238486305579706,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,clean,switch_random_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.006358024691358025,0.007304943331307699,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.00625,0.010531771450071599,5,-1.2037037037037037,0.7591588812499287,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,cusum,observed,count1_minus_steady_d12_n2_m1,-0.05342062235601615,0.045529742704236306,5,-0.010416666666666685,0.10332413900254521,5,-0.05756140398951226,0.033410165008359534,5,-0.03957079662924005,0.02539958823662321,5,-0.01678852478271083,0.0044997653827453165,5,0.010069444444444447,0.011211030757613157,5,0.002777777777777768,0.08761428823591745,5,0.0,0.0,5,-0.010416666666666685,0.10332413900254521,5,-0.00972222222222222,0.1010351038342126,5,0.0,0.0,5,0.00972222222222222,0.10734165951430022,5,-0.4176943857176415,0.44575194489105374,5,0.0,0.0,5,0.0,0.0,5,-0.010416666666666685,0.10332413900254521,5,-0.05342062235601615,0.045529742704236306,5,0.0,0.0,5
