scenario,method,view,regime,window,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
count1,regime_conditional,clean,transit_smooth,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0075,0.01679286072912427,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0375,0.06319062870042959,5,-6.203703703703704,3.654182826050206,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,warehouse,all,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.003333333333333334,0.010735351457640648,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.008333333333333333,0.018633899812498245,5,-2.4999999999999996,2.7893278391466794,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,warehouse,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0037962962962962963,0.016280900766444215,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.01743041721945991,5,-9.166666666666666,4.969039949999533,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,warehouse,stable,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.003333333333333334,0.010735351457640648,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.008333333333333333,0.018633899812498245,5,-2.4999999999999996,2.7893278391466794,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,warehouse,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0037962962962962963,0.016280900766444215,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.01743041721945991,5,-9.166666666666666,4.969039949999533,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,observed,all,all,cusum_minus_ewma,-0.13539965027712253,0.03040567548015785,5,-0.04027777777777778,0.04745652656463857,5,-0.171249496493795,0.040229036985843555,5,-0.14924575088101957,0.04951876386802412,5,0.02465277777777778,0.015502722748721009,5,0.010416666666666668,0.03172858833766851,5,2.2204460492503132e-17,0.02024636074599064,5,0.0,0.0,5,-0.04027777777777778,0.04745652656463857,5,-0.038888888888888896,0.04801218338178778,5,0.0,0.0,5,0.3416666666666667,0.059211315964700584,5,-2.1780303030303028,1.8317602452593629,5,0.0,0.0,5,0.0,0.0,5,-0.04027777777777778,0.04745652656463857,5,-0.13539965027712253,0.03040567548015785,5,0.0,0.0,5
count1,regime_conditional,observed,all,all,cusum_minus_point,0.07731519571588477,0.029436167746338785,5,0.20694444444444446,0.08207969065051324,5,-0.0008781109888652717,0.0438942385965671,5,0.04939231057184219,0.0365524530393082,5,0.029071969696969697,0.01816102282554994,5,0.038888888888888896,0.037589912785345445,5,0.15000000000000002,0.06488504792665596,5,0.0,0.0,5,0.20694444444444446,0.08207969065051324,5,0.19444444444444445,0.09225923788601682,5,0.0,0.0,5,0.4444444444444445,0.04527223892501844,5,-6.502525252525253,1.6187981571916776,5,0.0,0.0,5,0.0,0.0,5,0.20694444444444446,0.08207969065051324,5,0.07731519571588477,0.029436167746338785,5,0.0,0.0,5
count1,regime_conditional,observed,all,stable,cusum_minus_ewma,-0.13539965027712253,0.03040567548015785,5,-0.04027777777777778,0.04745652656463857,5,-0.171249496493795,0.040229036985843555,5,-0.14924575088101957,0.04951876386802412,5,0.02465277777777778,0.015502722748721009,5,0.010416666666666668,0.03172858833766851,5,2.2204460492503132e-17,0.02024636074599064,5,0.0,0.0,5,-0.04027777777777778,0.04745652656463857,5,-0.038888888888888896,0.04801218338178778,5,0.0,0.0,5,0.3416666666666667,0.059211315964700584,5,-2.1780303030303028,1.8317602452593629,5,0.0,0.0,5,0.0,0.0,5,-0.04027777777777778,0.04745652656463857,5,-0.13539965027712253,0.03040567548015785,5,0.0,0.0,5
count1,regime_conditional,observed,all,stable,cusum_minus_point,0.07731519571588477,0.029436167746338785,5,0.20694444444444446,0.08207969065051324,5,-0.0008781109888652717,0.0438942385965671,5,0.04939231057184219,0.0365524530393082,5,0.029071969696969697,0.01816102282554994,5,0.038888888888888896,0.037589912785345445,5,0.15000000000000002,0.06488504792665596,5,0.0,0.0,5,0.20694444444444446,0.08207969065051324,5,0.19444444444444445,0.09225923788601682,5,0.0,0.0,5,0.4444444444444445,0.04527223892501844,5,-6.502525252525253,1.6187981571916776,5,0.0,0.0,5,0.0,0.0,5,0.20694444444444446,0.08207969065051324,5,0.07731519571588477,0.029436167746338785,5,0.0,0.0,5
count1,regime_conditional,observed,transit_rough,all,cusum_minus_ewma,-0.12482158032103433,0.06711173987395852,5,-0.008333333333333321,0.10785149254620655,5,-0.1934465557301376,0.08789499727458329,5,-0.11993306999756807,0.08347147644840472,5,0.03096590909090909,0.02678769560646267,5,0.03333333333333333,0.03855574067358697,5,0.012499999999999966,0.0432009194860994,5,0.0,0.0,5,-0.008333333333333321,0.10785149254620655,5,-0.03333333333333332,0.12465229418042993,5,0.0,0.0,5,0.33333333333333337,0.10206207261596574,5,-1.4204545454545456,2.1174886150566183,5,0.0,0.0,5,0.0,0.0,5,-0.008333333333333321,0.10785149254620655,5,-0.12482158032103433,0.06711173987395852,5,0.0,0.0,5
