scenario,method,view,comparison,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
count1,regime_conditional,clean,cusum_minus_ewma,-0.05,0.07453559924999299,5,-0.06666666666666668,0.06972166887783963,5,0.03333333333333333,0.04564354645876384,5,3.8333333333333335,4.4783429475148,2,0.43333333333333324,0.3195048252113466,5,0.0,0.0,5,0.0,0.0,5,0.036111111111111115,0.026625402100945567,5
count1,regime_conditional,clean,cusum_minus_point,-0.11666666666666667,0.07453559924999299,5,-0.13333333333333336,0.07453559924999299,5,0.03333333333333333,0.04564354645876384,5,-0.16666666666666652,3.5355339059327373,2,0.5833333333333336,0.5833333333333329,5,0.0,0.0,5,0.0,0.0,5,0.04861111111111114,0.04861111111111112,5
count1,regime_conditional,observed,cusum_minus_ewma,-0.13333333333333336,0.0950146187582615,5,-0.15000000000000002,0.10865337342004415,5,0.03333333333333333,0.04564354645876384,5,1.176111111111111,0.36818900802254007,5,1.6666666666666667,0.7406828681096325,5,0.0,0.0,5,0.0,0.0,5,0.1388888888888889,0.06172357234246938,5
count1,regime_conditional,observed,cusum_minus_point,-0.016666666666666698,0.12360330811826106,5,-0.03333333333333335,0.12638125740085918,5,0.03333333333333333,0.04564354645876384,5,1.5645238095238096,1.95753283682707,5,1.0333333333333337,1.0351462591236942,5,0.0,0.0,5,0.0,0.0,5,0.08611111111111114,0.08626218826030786,5
count1,regime_marginal,clean,cusum_minus_ewma,0.016666666666666666,0.06972166887783963,5,0.0,0.05892556509887896,5,0.016666666666666666,0.03726779962499649,5,0.0,,1,-0.05,0.38908725099762465,5,0.0,0.0,5,0.0,0.0,5,-0.004166666666666652,0.03242393758313538,5
count1,regime_marginal,clean,cusum_minus_point,-0.05,0.1118033988749895,5,-0.06666666666666667,0.10865337342004415,5,0.016666666666666666,0.03726779962499649,5,2.0,1.4142135623730951,2,0.3666666666666668,0.4662200243566451,5,0.0,0.0,5,0.0,0.0,5,0.030555555555555558,0.03885166869638712,5
count1,regime_marginal,observed,cusum_minus_ewma,-0.2166666666666667,0.07453559924999299,5,-0.23333333333333334,0.09128709291752768,5,0.016666666666666666,0.03726779962499649,5,1.1,2.2524061208701536,4,1.5999999999999996,0.2725904538966025,5,0.0,0.0,5,0.0,0.0,5,0.13333333333333328,0.022715871158050224,5
count1,regime_marginal,observed,cusum_minus_point,-0.25,0.14433756729740646,5,-0.2666666666666667,0.149071198499986,5,0.016666666666666666,0.03726779962499649,5,2.495833333333333,1.2383064151403635,4,2.1499999999999995,0.793637896720608,5,0.0,0.0,5,0.0,0.0,5,0.17916666666666664,0.06613649139338401,5
count3,regime_conditional,clean,cusum_minus_ewma,-0.04444444444444444,0.057601225981465894,5,-0.05555555555555556,0.05196746370519363,5,0.016666666666666666,0.015214515486254614,5,-0.011904761904761862,1.9519453637199595,4,0.3388888888888889,0.40225061287157343,5,0.0,0.0,5,0.0,0.0,5,0.028240740740740698,0.03352088440596444,5
count3,regime_conditional,clean,cusum_minus_point,-0.1388888888888889,0.04811252243246882,5,-0.15,0.042127085800286394,5,0.016666666666666666,0.015214515486254614,5,-0.5321428571428573,3.2600524806927185,4,0.7722222222222218,0.688978488796778,5,0.0,0.0,5,0.0,0.0,5,0.06435185185185181,0.05741487406639819,5
count3,regime_conditional,observed,cusum_minus_ewma,-0.11111111111111109,0.05196746370519365,5,-0.1222222222222222,0.05414885747116096,5,0.02777777777777778,0.019641855032959652,5,1.0317475845410629,0.5048756199998969,5,1.511111111111111,0.6396734313424559,5,0.0,0.0,5,0.0,0.0,5,0.1259259259259259,0.05330611927853804,5
count3,regime_conditional,observed,cusum_minus_point,0.061111111111111116,0.1323458805507955,5,0.05,0.12638125740085918,5,0.02777777777777778,0.019641855032959652,5,1.4225766685566121,0.8023695090124254,5,0.5055555555555553,0.936115232434053,5,0.0,0.0,5,0.0,0.0,5,0.04212962962962961,0.07800960270283784,5
count3,regime_marginal,clean,cusum_minus_ewma,-0.005555555555555555,0.05343162239353151,5,-0.02777777777777778,0.05555555555555555,5,0.02222222222222222,0.01242259987499883,5,-0.3333333333333335,0.9428090415820631,2,0.11666666666666678,0.33240611781448004,5,0.0,0.0,5,0.0,0.0,5,0.009722222222222276,0.027700509817873285,5
count3,regime_marginal,clean,cusum_minus_point,-0.07777777777777779,0.05343162239353151,5,-0.1,0.05414885747116091,5,0.016666666666666666,0.02484519974999766,5,0.4666666666666668,2.6388128644019706,3,0.6444444444444439,0.34099980087608694,5,0.0,0.0,5,0.0,0.0,5,0.05370370370370372,0.028416650073007196,5
count3,regime_marginal,observed,cusum_minus_ewma,-0.18888888888888888,0.05343162239353151,5,-0.20555555555555555,0.04648111258522639,5,0.016666666666666666,0.015214515486254614,5,0.7057121310062484,1.8498317745161388,5,1.411111111111111,0.43185288418655615,5,0.0,0.0,5,0.0,0.0,5,0.11759259259259258,0.03598774034887967,5
count3,regime_marginal,observed,cusum_minus_point,-0.24444444444444446,0.036217791140014735,5,-0.2611111111111111,0.0421270858002864,5,0.01111111111111111,0.02484519974999766,5,1.8457112804636027,2.2253672705272405,5,2.2666666666666666,0.6408785443763703,5,0.0,0.0,5,0.0,0.0,5,0.18888888888888888,0.05340654536469755,5
duration24,regime_conditional,clean,cusum_minus_ewma,-0.1,0.08122328620674138,5,-0.10833333333333335,0.08640183897219884,5,0.016666666666666666,0.02282177322938192,5,0.06666666666666679,2.136326025888579,5,1.516666666666667,1.421743354711624,5,0.0,0.0,5,0.0,0.0,5,0.06319444444444447,0.0592393064463177,5
duration24,regime_conditional,clean,cusum_minus_point,-0.20833333333333334,0.04166666666666666,5,-0.2166666666666667,0.04564354645876384,5,0.016666666666666666,0.02282177322938192,5,-0.8283333333333331,4.166764998839694,5,2.7416666666666663,0.5106504566617838,5,0.0,0.0,5,0.0,0.0,5,0.11423611111111112,0.021277102360907657,5
duration24,regime_conditional,observed,cusum_minus_ewma,-0.016666666666666673,0.022821773229381934,5,-0.04166666666666667,0.05103103630798288,5,0.03333333333333333,0.054326686710022075,5,2.141567976264773,0.8710377568959521,5,2.5583333333333336,1.190456845080912,5,0.0,0.0,5,0.0,0.0,5,0.10659722222222223,0.04960236854503803,5
duration24,regime_conditional,observed,cusum_minus_point,0.06666666666666662,0.12360330811826108,5,0.04166666666666663,0.15866193970549813,5,0.03333333333333333,0.054326686710022075,5,1.5524280160021846,1.0363169724799624,5,0.6416666666666666,1.861665547597395,5,0.0,0.0,5,0.0,0.0,5,0.026736111111111127,0.07756939781655814,5
duration24,regime_marginal,clean,cusum_minus_ewma,-0.04166666666666667,0.051031036307982884,5,-0.06666666666666668,0.04750730937913075,5,0.025,0.02282177322938192,5,-1.1666666666666667,10.750968948580091,3,0.8833333333333343,0.8962692737738538,5,0.0,0.0,5,0.0,0.0,5,0.036805555555555605,0.03734455307391059,5
duration24,regime_marginal,clean,cusum_minus_point,-0.16666666666666666,0.10206207261596574,5,-0.19166666666666668,0.10034662148993578,5,0.025,0.02282177322938192,5,-2.2222222222222228,8.04386124343923,3,2.4083333333333337,1.2601669862892515,5,0.0,0.0,5,0.0,0.0,5,0.10034722222222225,0.05250695776205212,5
duration24,regime_marginal,observed,cusum_minus_ewma,-0.2,0.09033118078616162,5,-0.2333333333333333,0.0864018389721988,5,0.041666666666666664,0.02946278254943948,5,3.609505938677765,1.1203763949363934,5,4.758333333333333,0.6905865059659226,5,0.0,0.0,5,0.0,0.0,5,0.19826388888888888,0.028774437748580135,5
duration24,regime_marginal,observed,cusum_minus_point,-0.16666666666666669,0.1178511301977579,5,-0.2,0.11562030771259671,5,0.041666666666666664,0.02946278254943948,5,6.4013827838827835,1.2366539516849908,5,6.016666666666667,0.8802422330750153,5,0.0,0.0,5,0.0,0.0,5,0.25069444444444444,0.036676759711458916,5
duration4,regime_conditional,clean,cusum_minus_ewma,-0.008333333333333333,0.054326686710022075,5,-0.016666666666666666,0.04750730937913075,5,0.016666666666666666,0.02282177322938192,5,,,0,0.033333333333333305,0.13629522694830104,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333326,0.03407380673707526,5
duration4,regime_conditional,clean,cusum_minus_point,-0.008333333333333333,0.04564354645876384,5,-0.016666666666666666,0.04750730937913075,5,0.016666666666666666,0.02282177322938192,5,,,0,0.033333333333333305,0.1156203077125967,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333326,0.028905076928149174,5
duration4,regime_conditional,observed,cusum_minus_ewma,-0.1,0.09592387027684447,5,-0.11666666666666667,0.08014743359029726,5,0.016666666666666666,0.02282177322938192,5,-0.13166666666666668,0.721841780139911,5,0.21666666666666662,0.11931517552730288,5,0.0,0.0,5,0.0,0.0,5,0.054166666666666655,0.02982879388182572,5
duration4,regime_conditional,observed,cusum_minus_point,-0.10833333333333335,0.0631906287004296,5,-0.125,0.06588078458684124,5,0.016666666666666666,0.02282177322938192,5,0.7788095238095238,0.5259469378234801,5,0.45,0.21122986426060966,5,0.0,0.0,5,0.0,0.0,5,0.1125,0.052807466065152416,5
