seed,method,temporal,view,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,regime_conditional,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,0.003472222222222222,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
42,regime_conditional,cusum,observed,-0.21887315404270064,-0.2534722222222222,-0.18990246701090074,-0.15093242043886654,-0.03155296186201939,-0.008680555555555558,-0.21527777777777773,0.0,-0.2534722222222222,-0.24652777777777776,0.0,-0.4305555555555556,-0.45413922402906515,0.0,0.0,-0.2534722222222222,-0.21887315404270064,0.0,duration4_minus_steady_d12_n2_m1
42,regime_conditional,ewma,clean,0.0,,0.0,,0.0,,,,,,0.0,0.024305555555555552,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
42,regime_conditional,ewma,observed,-0.328735001843745,-0.2777777777777778,-0.3892342866311018,-0.3573195973522485,-0.003686541936235941,0.017361111111111112,-0.21180555555555552,0.0,-0.2777777777777778,-0.2777777777777778,0.0,-0.05555555555555556,-1.6817722601076337,0.0,0.0,-0.2777777777777778,-0.328735001843745,0.0,duration4_minus_steady_d12_n2_m1
42,regime_conditional,point,clean,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
42,regime_conditional,point,observed,-0.05451688923802041,-0.010416666666666671,-0.16741321388577826,-0.07202209510420562,-0.0002513551320160873,0.0,0.01388888888888884,0.0,-0.010416666666666671,-0.0069444444444444475,0.0,0.0,-0.24164092401546533,0.0,0.0,-0.010416666666666671,-0.05451688923802041,0.0,duration4_minus_steady_d12_n2_m1
42,regime_marginal,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,0.010416666666666666,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
42,regime_marginal,cusum,observed,-0.0649460979610968,-0.055555555555555566,-0.07303427419354838,-0.059209778601508445,-0.01382453226088477,-0.015625,-0.09375000000000006,0.0,-0.055555555555555566,-0.055555555555555566,0.0,-0.06944444444444445,0.05464242000349717,0.0,0.0,-0.055555555555555566,-0.0649460979610968,0.0,duration4_minus_steady_d12_n2_m1
42,regime_marginal,ewma,clean,0.0,,0.0,,0.0,,,,,,0.0,0.013888888888888888,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
42,regime_marginal,ewma,observed,-0.18110512387207858,-0.11805555555555555,-0.35750221959159517,-0.17414527633624755,-0.0010892055720697104,0.005208333333333334,-0.20486111111111116,0.0,-0.11805555555555555,-0.11805555555555555,0.0,-0.017361111111111112,-0.11657049600746028,0.0,0.0,-0.11805555555555555,-0.18110512387207858,0.0,duration4_minus_steady_d12_n2_m1
42,regime_marginal,point,clean,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
42,regime_marginal,point,observed,-0.02355259916235526,0.0034722222222222238,-0.14546430488459472,-0.07434864269562169,-0.00013964174000893718,0.0,-0.01041666666666663,0.0,0.0034722222222222238,0.0034722222222222238,0.0,0.0,-0.1347846360086251,0.0,0.0,0.0034722222222222238,-0.02355259916235526,0.0,duration4_minus_steady_d12_n2_m1
43,regime_conditional,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,0.010416666666666664,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
