split,threshold_name,prediction_rule,num_samples,num_corrupted,corruption_prevalence,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,pr_auc,false_positive_rate,false_negative_rate
train,q90,mahalanobis_distance_squared > threshold,2880,308,0.10694444444444444,7.4974807596020128,292,1939,16,633,0.13088301210219633,0.94805194805194803,0.23001181567546275,0.42188880914493365,0.75388802488335926,0.051948051948051951
train,q99,mahalanobis_distance_squared > threshold,2880,308,0.10694444444444444,13.833465760805584,286,1873,22,699,0.13246873552570634,0.9285714285714286,0.23186055938386704,0.42188880914493365,0.72822706065318821,0.071428571428571425
val,q90,mahalanobis_distance_squared > threshold,960,86,0.089583333333333334,7.4974807596020128,81,756,5,118,0.096774193548387094,0.94186046511627908,0.17551462621885155,0.47965079589418907,0.86498855835240274,0.058139534883720929
val,q99,mahalanobis_distance_squared > threshold,960,86,0.089583333333333334,13.833465760805584,80,747,6,127,0.096735187424425634,0.93023255813953487,0.17524644030668127,0.47965079589418907,0.85469107551487411,0.069767441860465115
